$NYA200R, Daily
      Date,       Open,       High,        Low,      Close,        Volume 
12/27/2001,     57.164,     57.164,     57.164,     57.164,             0 
12/28/2001,     59.012,     59.012,     59.012,     59.012,             0 
12/31/2001,     57.442,     57.442,     57.442,     57.442,             0 
01/02/2002,     57.153,     57.153,     57.153,     57.153,             0 
01/03/2002,     60.668,     60.668,     60.668,     60.668,             0 
01/04/2002,     62.792,     62.792,     62.792,     62.792,             0 
01/07/2002,     61.307,     61.307,     61.307,     61.307,             0 
01/08/2002,     60.440,     60.440,     60.440,     60.440,             0 
01/09/2002,     59.357,     59.357,     59.357,     59.357,             0 
01/10/2002,     58.751,     58.751,     58.751,     58.751,             0 
01/11/2002,     57.039,     57.039,     57.039,     57.039,             0 
01/14/2002,     55.474,     55.474,     55.474,     55.474,             0 
01/15/2002,     56.790,     56.790,     56.790,     56.790,             0 
01/16/2002,     53.061,     53.061,     53.061,     53.061,             0 
01/17/2002,     55.018,     55.018,     55.018,     55.018,             0 
01/18/2002,     53.524,     53.524,     53.524,     53.524,             0 
01/22/2002,     52.097,     52.097,     52.097,     52.097,             0 
01/23/2002,     53.846,     53.846,     53.846,     53.846,             0 
01/24/2002,     55.938,     55.938,     55.938,     55.938,             0 
01/25/2002,     56.745,     56.745,     56.745,     56.745,             0 
01/28/2002,     56.388,     56.388,     56.388,     56.388,             0 
01/29/2002,     51.504,     51.504,     51.504,     51.504,             0 
01/30/2002,     53.937,     53.937,     53.937,     53.937,             0 
01/31/2002,     56.282,     56.282,     56.282,     56.282,             0 
02/01/2002,     56.029,     56.029,     56.029,     56.029,             0 
02/04/2002,     51.031,     51.031,     51.031,     51.031,             0 
02/05/2002,     50.037,     50.037,     50.037,     50.037,             0 
02/06/2002,     48.674,     48.674,     48.674,     48.674,             0 
02/07/2002,     47.647,     47.647,     47.647,     47.647,             0 
02/08/2002,     50.588,     50.588,     50.588,     50.588,             0 
02/11/2002,     54.432,     54.432,     54.432,     54.432,             0 
02/12/2002,     53.931,     53.931,     53.931,     53.931,             0 
02/13/2002,     56.806,     56.806,     56.806,     56.806,             0 
02/14/2002,     56.902,     56.902,     56.902,     56.902,             0 
02/15/2002,     56.471,     56.471,     56.471,     56.471,             0 
02/19/2002,     52.825,     52.825,     52.825,     52.825,             0 
02/20/2002,     55.360,     55.360,     55.360,     55.360,             0 
02/21/2002,     53.773,     53.773,     53.773,     53.773,             0 
02/22/2002,     56.490,     56.490,     56.490,     56.490,             0 
02/25/2002,     59.071,     59.071,     59.071,     59.071,             0 
02/26/2002,     60.117,     60.117,     60.117,     60.117,             0 
02/27/2002,     61.786,     61.786,     61.786,     61.786,             0 
02/28/2002,     61.224,     61.224,     61.224,     61.224,             0 
03/01/2002,     65.227,     65.227,     65.227,     65.227,             0 
03/04/2002,     68.413,     68.413,     68.413,     68.413,             0 
03/05/2002,     68.455,     68.455,     68.455,     68.455,             0 
03/06/2002,     72.110,     72.110,     72.110,     72.110,             0 
03/07/2002,     71.706,     71.706,     71.706,     71.706,             0 
03/08/2002,     72.354,     72.354,     72.354,     72.354,             0 
03/11/2002,     73.430,     73.430,     73.430,     73.430,             0 
03/12/2002,     73.324,     73.324,     73.324,     73.324,             0 
03/13/2002,     72.538,     72.538,     72.538,     72.538,             0 
03/14/2002,     72.397,     72.397,     72.397,     72.397,             0 
03/15/2002,     74.271,     74.271,     74.271,     74.271,             0 
03/18/2002,     74.679,     74.679,     74.679,     74.679,             0 
03/19/2002,     75.445,     75.445,     75.445,     75.445,             0 
03/20/2002,     74.409,     74.409,     74.409,     74.409,             0 
03/21/2002,     75.926,     75.926,     75.926,     75.926,             0 
03/22/2002,     75.250,     75.250,     75.250,     75.250,             0 
03/25/2002,     72.773,     72.773,     72.773,     72.773,             0 
03/26/2002,     74.929,     74.929,     74.929,     74.929,             0 
03/27/2002,     76.660,     76.660,     76.660,     76.660,             0 
03/28/2002,     76.433,     76.433,     76.433,     76.433,             0 
04/01/2002,     76.299,     76.299,     76.299,     76.299,             0 
04/02/2002,     76.211,     76.211,     76.211,     76.211,             0 
04/03/2002,     74.467,     74.467,     74.467,     74.467,             0 
04/04/2002,     75.036,     75.036,     75.036,     75.036,             0 
04/05/2002,     75.949,     75.949,     75.949,     75.949,             0 
04/08/2002,     76.126,     76.126,     76.126,     76.126,             0 
04/09/2002,     76.841,     76.841,     76.841,     76.841,             0 
04/10/2002,     78.521,     78.521,     78.521,     78.521,             0 
04/11/2002,     76.546,     76.546,     76.546,     76.546,             0 
04/12/2002,     77.054,     77.054,     77.054,     77.054,             0 
04/15/2002,     77.114,     77.114,     77.114,     77.114,             0 
04/16/2002,     79.549,     79.549,     79.549,     79.549,             0 
04/17/2002,     79.410,     79.410,     79.410,     79.410,             0 
04/18/2002,     79.055,     79.055,     79.055,     79.055,             0 
04/19/2002,     79.178,     79.178,     79.178,     79.178,             0 
04/22/2002,     77.636,     77.636,     77.636,     77.636,             0 
04/23/2002,     76.766,     76.766,     76.766,     76.766,             0 
04/24/2002,     75.599,     75.599,     75.599,     75.599,             0 
04/25/2002,     75.176,     75.176,     75.176,     75.176,             0 
04/26/2002,     73.004,     73.004,     73.004,     73.004,             0 
04/29/2002,     71.671,     71.671,     71.671,     71.671,             0 
04/30/2002,     74.011,     74.011,     74.011,     74.011,             0 
05/01/2002,     75.212,     75.212,     75.212,     75.212,             0 
05/02/2002,     75.601,     75.601,     75.601,     75.601,             0 
05/03/2002,     74.824,     74.824,     74.824,     74.824,             0 
05/06/2002,     72.791,     72.791,     72.791,     72.791,             0 
05/07/2002,     72.409,     72.409,     72.409,     72.409,             0 
