$NYDNV, Daily
      Date,       Open,       High,        Low,      Close,        Volume 
01/02/1970,     1.1900,     1.1900,     1.1900,     1.1900,             0 
01/05/1970,     3.6700,     3.6700,     3.6700,     3.6700,             0 
01/06/1970,     7.9300,     7.9300,     7.9300,     7.9300,             0 
01/07/1970,     5.3800,     5.3800,     5.3800,     5.3800,             0 
01/08/1970,     5.1200,     5.1200,     5.1200,     5.1200,             0 
01/09/1970,     5.4500,     5.4500,     5.4500,     5.4500,             0 
01/12/1970,     6.0800,     6.0800,     6.0800,     6.0800,             0 
01/13/1970,     5.4000,     5.4000,     5.4000,     5.4000,             0 
01/14/1970,     5.6100,     5.6100,     5.6100,     5.6100,             0 
01/15/1970,     6.1400,     6.1400,     6.1400,     6.1400,             0 
01/16/1970,     7.6200,     7.6200,     7.6200,     7.6200,             0 
01/19/1970,     6.6300,     6.6300,     6.6300,     6.6300,             0 
01/20/1970,     5.0700,     5.0700,     5.0700,     5.0700,             0 
01/21/1970,     4.4300,     4.4300,     4.4300,     4.4300,             0 
01/22/1970,     4.4200,     4.4200,     4.4200,     4.4200,             0 
01/23/1970,     8.3600,     8.3600,     8.3600,     8.3600,             0 
01/26/1970,     7.9100,     7.9100,     7.9100,     7.9100,             0 
01/27/1970,     6.2600,     6.2600,     6.2600,     6.2600,             0 
01/28/1970,     6.9000,     6.9000,     6.9000,     6.9000,             0 
01/29/1970,     9.1400,     9.1400,     9.1400,     9.1400,             0 
01/30/1970,     8.1500,     8.1500,     8.1500,     8.1500,             0 
02/02/1970,     4.7400,     4.7400,     4.7400,     4.7400,             0 
02/03/1970,     4.5500,     4.5500,     4.5500,     4.5500,             0 
02/04/1970,     7.5100,     7.5100,     7.5100,     7.5100,             0 
02/05/1970,     5.3300,     5.3300,     5.3300,     5.3300,             0 
02/06/1970,     3.6900,     3.6900,     3.6900,     3.6900,             0 
02/09/1970,     3.3800,     3.3800,     3.3800,     3.3800,             0 
02/10/1970,     6.9100,     6.9100,     6.9100,     6.9100,             0 
02/11/1970,     3.9200,     3.9200,     3.9200,     3.9200,             0 
02/12/1970,     4.7600,     4.7600,     4.7600,     4.7600,             0 
02/13/1970,     5.7700,     5.7700,     5.7700,     5.7700,             0 
02/16/1970,     4.4000,     4.4000,     4.4000,     4.4000,             0 
02/17/1970,     5.2000,     5.2000,     5.2000,     5.2000,             0 
02/18/1970,     2.6600,     2.6600,     2.6600,     2.6600,             0 
02/19/1970,     5.0200,     5.0200,     5.0200,     5.0200,             0 
02/20/1970,     4.3300,     4.3300,     4.3300,     4.3300,             0 
02/24/1970,     4.6200,     4.6200,     4.6200,     4.6200,             0 
02/25/1970,     1.9400,     1.9400,     1.9400,     1.9400,             0 
02/26/1970,     6.6000,     6.6000,     6.6000,     6.6000,             0 
02/27/1970,     3.6600,     3.6600,     3.6600,     3.6600,             0 
03/02/1970,     4.5200,     4.5200,     4.5200,     4.5200,             0 
03/03/1970,     3.8300,     3.8300,     3.8300,     3.8300,             0 
03/04/1970,     5.7700,     5.7700,     5.7700,     5.7700,             0 
03/05/1970,     4.3500,     4.3500,     4.3500,     4.3500,             0 
03/06/1970,     7.3100,     7.3100,     7.3100,     7.3100,             0 
03/09/1970,     7.2500,     7.2500,     7.2500,     7.2500,             0 
03/10/1970,     4.2700,     4.2700,     4.2700,     4.2700,             0 
03/11/1970,     4.2300,     4.2300,     4.2300,     4.2300,             0 
03/12/1970,     5.7500,     5.7500,     5.7500,     5.7500,             0 
03/13/1970,     6.4700,     6.4700,     6.4700,     6.4700,             0 
03/16/1970,     6.8100,     6.8100,     6.8100,     6.8100,             0 
03/17/1970,     3.4400,     3.4400,     3.4400,     3.4400,             0 
03/18/1970,     4.3500,     4.3500,     4.3500,     4.3500,             0 
03/19/1970,     5.0500,     5.0500,     5.0500,     5.0500,             0 
03/20/1970,     4.8300,     4.8300,     4.8300,     4.8300,             0 
03/23/1970,     3.4300,     3.4300,     3.4300,     3.4300,             0 
03/24/1970,     2.2100,     2.2100,     2.2100,     2.2100,             0 
03/25/1970,     1.3600,     1.3600,     1.3600,     1.3600,             0 
03/26/1970,     3.8800,     3.8800,     3.8800,     3.8800,             0 
03/30/1970,     5.4400,     5.4400,     5.4400,     5.4400,             0 
03/31/1970,     3.7100,     3.7100,     3.7100,     3.7100,             0 
04/01/1970,     3.2000,     3.2000,     3.2000,     3.2000,             0 
04/02/1970,     5.9400,     5.9400,     5.9400,     5.9400,             0 
04/03/1970,     5.7100,     5.7100,     5.7100,     5.7100,             0 
04/06/1970,     5.7700,     5.7700,     5.7700,     5.7700,             0 
04/07/1970,     4.7100,     4.7100,     4.7100,     4.7100,             0 
04/08/1970,     5.0200,     5.0200,     5.0200,     5.0200,             0 
04/09/1970,     4.5900,     4.5900,     4.5900,     4.5900,             0 
04/10/1970,     6.6400,     6.6400,     6.6400,     6.6400,             0 
04/13/1970,     6.6200,     6.6200,     6.6200,     6.6200,             0 
04/14/1970,     7.4500,     7.4500,     7.4500,     7.4500,             0 
04/15/1970,     5.5100,     5.5100,     5.5100,     5.5100,             0 
04/16/1970,     7.7600,     7.7600,     7.7600,     7.7600,             0 
04/17/1970,     6.5200,     6.5200,     6.5200,     6.5200,             0 
04/20/1970,     3.3900,     3.3900,     3.3900,     3.3900,             0 
04/21/1970,     5.0800,     5.0800,     5.0800,     5.0800,             0 
04/22/1970,     9.2100,     9.2100,     9.2100,     9.2100,             0 
04/23/1970,     9.2900,     9.2900,     9.2900,     9.2900,             0 
04/24/1970,     6.7200,     6.7200,     6.7200,     6.7200,             0 
04/27/1970,     8.9700,     8.9700,     8.9700,     8.9700,             0 
04/28/1970,     9.0400,     9.0400,     9.0400,     9.0400,             0 
04/29/1970,     3.0900,     3.0900,     3.0900,     3.0900,             0 
04/30/1970,     5.4600,     5.4600,     5.4600,     5.4600,             0 
05/01/1970,     4.3000,     4.3000,     4.3000,     4.3000,             0 
05/04/1970,     10.530,     10.530,     10.530,     10.530,             0 
05/05/1970,     7.8300,     7.8300,     7.8300,     7.8300,             0 
05/06/1970,     2.5500,     2.5500,     2.5500,     2.5500,             0 
05/07/1970,     3.6300,     3.6300,     3.6300,     3.6300,             0 
05/08/1970,     4.3200,     4.3200,     4.3200,     4.3200,             0 
05/11/1970,     5.1300,     5.1300,     5.1300,     5.1300,             0 
05/12/1970,     7.4200,     7.4200,     7.4200,     7.4200,             0 
05/13/1970,     8.8300,     8.8300,     8.8300,     8.8300,             0 
05/14/1970,     10.100,     10.100,     10.100,     10.100,             0 
05/15/1970,     3.5900,     3.5900,     3.5900,     3.5900,             0 
05/18/1970,     3.9600,     3.9600,     3.9600,     3.9600,             0 
05/19/1970,     7.8900,     7.8900,     7.8900,     7.8900,             0 
05/20/1970,     12.040,     12.040,     12.040,     12.040,             0 
05/21/1970,     13.010,     13.010,     13.010,     13.010,             0 
05/22/1970,     6.9900,     6.9900,     6.9900,     6.9900,             0 
05/25/1970,     11.730,     11.730,     11.730,     11.730,             0 
05/26/1970,     10.290,     10.290,     10.290,     10.290,             0 
05/27/1970,     1.0100,     1.0100,     1.0100,     1.0100,             0 
05/28/1970,     3.4000,     3.4000,     3.4000,     3.4000,             0 
05/29/1970,     2.2400,     2.2400,     2.2400,     2.2400,             0 
06/01/1970,     3.4600,     3.4600,     3.4600,     3.4600,             0 
06/02/1970,     5.1100,     5.1100,     5.1100,     5.1100,             0 
06/03/1970,     3.4000,     3.4000,     3.4000,     3.4000,             0 
06/04/1970,     11.050,     11.050,     11.050,     11.050,             0 
