$NYLOW, Daily
      Date,       Open,       High,        Low,      Close,        Volume 
01/02/1970,     16.000,     16.000,     16.000,     16.000,             0 
01/05/1970,     11.000,     11.000,     11.000,     11.000,             0 
01/06/1970,     13.000,     13.000,     13.000,     13.000,             0 
01/07/1970,     20.000,     20.000,     20.000,     20.000,             0 
01/08/1970,     19.000,     19.000,     19.000,     19.000,             0 
01/09/1970,     20.000,     20.000,     20.000,     20.000,             0 
01/12/1970,     34.000,     34.000,     34.000,     34.000,             0 
01/13/1970,     45.000,     45.000,     45.000,     45.000,             0 
01/14/1970,     59.000,     59.000,     59.000,     59.000,             0 
01/15/1970,     64.000,     64.000,     64.000,     64.000,             0 
01/16/1970,     68.000,     68.000,     68.000,     68.000,             0 
01/19/1970,     88.000,     88.000,     88.000,     88.000,             0 
01/20/1970,     84.000,     84.000,     84.000,     84.000,             0 
01/21/1970,     58.000,     58.000,     58.000,     58.000,             0 
01/22/1970,     65.000,     65.000,     65.000,     65.000,             0 
01/23/1970,     91.000,     91.000,     91.000,     91.000,             0 
01/26/1970,    158.000,    158.000,    158.000,    158.000,             0 
01/27/1970,    144.000,    144.000,    144.000,    144.000,             0 
01/28/1970,    154.000,    154.000,    154.000,    154.000,             0 
01/29/1970,    245.000,    245.000,    245.000,    245.000,             0 
01/30/1970,    224.000,    224.000,    224.000,    224.000,             0 
02/02/1970,    115.000,    115.000,    115.000,    115.000,             0 
02/03/1970,    147.000,    147.000,    147.000,    147.000,             0 
02/04/1970,     67.000,     67.000,     67.000,     67.000,             0 
02/05/1970,    129.000,    129.000,    129.000,    129.000,             0 
02/06/1970,     98.000,     98.000,     98.000,     98.000,             0 
02/09/1970,     61.000,     61.000,     61.000,     61.000,             0 
02/10/1970,     95.000,     95.000,     95.000,     95.000,             0 
02/11/1970,    117.000,    117.000,    117.000,    117.000,             0 
02/12/1970,     79.000,     79.000,     79.000,     79.000,             0 
02/13/1970,     71.000,     71.000,     71.000,     71.000,             0 
02/16/1970,     99.000,     99.000,     99.000,     99.000,             0 
02/17/1970,    101.000,    101.000,    101.000,    101.000,             0 
02/18/1970,     68.000,     68.000,     68.000,     68.000,             0 
02/19/1970,     42.000,     42.000,     42.000,     42.000,             0 
02/20/1970,     36.000,     36.000,     36.000,     36.000,             0 
02/24/1970,     38.000,     38.000,     38.000,     38.000,             0 
02/25/1970,     38.000,     38.000,     38.000,     38.000,             0 
02/26/1970,     35.000,     35.000,     35.000,     35.000,             0 
02/27/1970,     28.000,     28.000,     28.000,     28.000,             0 
03/02/1970,     22.000,     22.000,     22.000,     22.000,             0 
03/03/1970,     25.000,     25.000,     25.000,     25.000,             0 
03/04/1970,     7.0000,     7.0000,     7.0000,     7.0000,             0 
03/05/1970,     14.000,     14.000,     14.000,     14.000,             0 
03/06/1970,     17.000,     17.000,     17.000,     17.000,             0 
03/09/1970,     27.000,     27.000,     27.000,     27.000,             0 
03/10/1970,     31.000,     31.000,     31.000,     31.000,             0 
03/11/1970,     26.000,     26.000,     26.000,     26.000,             0 
03/12/1970,     31.000,     31.000,     31.000,     31.000,             0 
03/13/1970,     41.000,     41.000,     41.000,     41.000,             0 
03/16/1970,    135.000,    135.000,    135.000,    135.000,             0 
03/17/1970,     97.000,     97.000,     97.000,     97.000,             0 
03/18/1970,     68.000,     68.000,     68.000,     68.000,             0 
03/19/1970,     75.000,     75.000,     75.000,     75.000,             0 
03/20/1970,    127.000,    127.000,    127.000,    127.000,             0 
03/23/1970,    126.000,    126.000,    126.000,    126.000,             0 
03/24/1970,     65.000,     65.000,     65.000,     65.000,             0 
03/25/1970,     33.000,     33.000,     33.000,     33.000,             0 
03/26/1970,     18.000,     18.000,     18.000,     18.000,             0 
03/30/1970,     29.000,     29.000,     29.000,     29.000,             0 
03/31/1970,     35.000,     35.000,     35.000,     35.000,             0 
04/01/1970,     28.000,     28.000,     28.000,     28.000,             0 
04/02/1970,     29.000,     29.000,     29.000,     29.000,             0 
04/03/1970,     54.000,     54.000,     54.000,     54.000,             0 
04/06/1970,     79.000,     79.000,     79.000,     79.000,             0 
04/07/1970,     84.000,     84.000,     84.000,     84.000,             0 
04/08/1970,    101.000,    101.000,    101.000,    101.000,             0 
04/09/1970,     94.000,     94.000,     94.000,     94.000,             0 
04/10/1970,    112.000,    112.000,    112.000,    112.000,             0 
04/13/1970,    175.000,    175.000,    175.000,    175.000,             0 
04/14/1970,    253.000,    253.000,    253.000,    253.000,             0 
04/15/1970,    146.000,    146.000,    146.000,    146.000,             0 
04/16/1970,    223.000,    223.000,    223.000,    223.000,             0 
04/17/1970,    265.000,    265.000,    265.000,    265.000,             0 
04/20/1970,    153.000,    153.000,    153.000,    153.000,             0 
04/21/1970,    137.000,    137.000,    137.000,    137.000,             0 
04/22/1970,    303.000,    303.000,    303.000,    303.000,             0 
04/23/1970,    437.000,    437.000,    437.000,    437.000,             0 
04/24/1970,    420.000,    420.000,    420.000,    420.000,             0 
04/27/1970,    498.000,    498.000,    498.000,    498.000,             0 
04/28/1970,    608.000,    608.000,    608.000,    608.000,             0 
04/29/1970,    454.000,    454.000,    454.000,    454.000,             0 
04/30/1970,    131.000,    131.000,    131.000,    131.000,             0 
05/01/1970,    176.000,    176.000,    176.000,    176.000,             0 
05/04/1970,    397.000,    397.000,    397.000,    397.000,             0 
05/05/1970,    495.000,    495.000,    495.000,    495.000,             0 
05/06/1970,    251.000,    251.000,    251.000,    251.000,             0 
05/07/1970,    131.000,    131.000,    131.000,    131.000,             0 
05/08/1970,    166.000,    166.000,    166.000,    166.000,             0 
05/11/1970,    242.000,    242.000,    242.000,    242.000,             0 
05/12/1970,    373.000,    373.000,    373.000,    373.000,             0 
05/13/1970,    505.000,    505.000,    505.000,    505.000,             0 
05/14/1970,    759.000,    759.000,    759.000,    759.000,             0 
05/15/1970,    324.000,    324.000,    324.000,    324.000,             0 
05/18/1970,    164.000,    164.000,    164.000,    164.000,             0 
05/19/1970,    289.000,    289.000,    289.000,    289.000,             0 
05/20/1970,    617.000,    617.000,    617.000,    617.000,             0 
05/21/1970,    873.000,    873.000,    873.000,    873.000,             0 
05/22/1970,    519.000,    519.000,    519.000,    519.000,             0 
05/25/1970,    911.000,    911.000,    911.000,    911.000,             0 
05/26/1970,    943.000,    943.000,    943.000,    943.000,             0 
05/27/1970,    300.000,    300.000,    300.000,    300.000,             0 
05/28/1970,     77.000,     77.000,     77.000,     77.000,             0 
05/29/1970,     57.000,     57.000,     57.000,     57.000,             0 
06/01/1970,     32.000,     32.000,     32.000,     32.000,             0 
06/02/1970,     38.000,     38.000,     38.000,     38.000,             0 
06/03/1970,     24.000,     24.000,     24.000,     24.000,             0 
06/04/1970,     31.000,     31.000,     31.000,     31.000,             0 
06/05/1970,     42.000,     42.000,     42.000,     42.000,             0 
06/08/1970,     41.000,     41.000,     41.000,     41.000,             0 
06/09/1970,     49.000,     49.000,     49.000,     49.000,             0 
06/10/1970,     60.000,     60.000,     60.000,     60.000,             0 
06/11/1970,    100.000,    100.000,    100.000,    100.000,             0 
06/12/1970,    127.000,    127.000,    127.000,    127.000,             0 
06/15/1970,     79.000,     79.000,     79.000,     79.000,             0 
06/16/1970,     62.000,     62.000,     62.000,     62.000,             0 
06/17/1970,     45.000,     45.000,     45.000,     45.000,             0 
06/18/1970,     53.000,     53.000,     53.000,     53.000,             0 
06/19/1970,     48.000,     48.000,     48.000,     48.000,             0 
06/22/1970,     74.000,     74.000,     74.000,     74.000,             0 
06/23/1970,     92.000,     92.000,     92.000,     92.000,             0 
06/24/1970,    162.000,    162.000,    162.000,    162.000,             0 
06/25/1970,    140.000,    140.000,    140.000,    140.000,             0 
06/26/1970,    129.000,    129.000,    129.000,    129.000,             0 
06/29/1970,    210.000,    210.000,    210.000,    210.000,             0 
06/30/1970,    207.000,    207.000,    207.000,    207.000,             0 
07/01/1970,    180.000,    180.000,    180.000,    180.000,             0 
07/02/1970,    151.000,    151.000,    151.000,    151.000,             0 
07/06/1970,    255.000,    255.000,    255.000,    255.000,             0 
07/07/1970,    267.000,    267.000,    267.000,    267.000,             0 
07/08/1970,    158.000,    158.000,    158.000,    158.000,             0 
07/09/1970,     59.000,     59.000,     59.000,     59.000,             0 
07/10/1970,     48.000,     48.000,     48.000,     48.000,             0 
07/13/1970,     41.000,     41.000,     41.000,     41.000,             0 
07/14/1970,     59.000,     59.000,     59.000,     59.000,             0 
07/15/1970,     50.000,     50.000,     50.000,     50.000,             0 
07/16/1970,     50.000,     50.000,     50.000,     50.000,             0 
07/17/1970,     24.000,     24.000,     24.000,     24.000,             0 
07/20/1970,     20.000,     20.000,     20.000,     20.000,             0 
07/21/1970,     36.000,     36.000,     36.000,     36.000,             0 
07/22/1970,     21.000,     21.000,     21.000,     21.000,             0 
07/23/1970,     19.000,     19.000,     19.000,     19.000,             0 
07/24/1970,     17.000,     17.000,     17.000,     17.000,             0 
