$NYUPV, Daily
      Date,       Open,       High,        Low,      Close,        Volume 
01/02/1970,     6.2100,     6.2100,     6.2100,     6.2100,             0 
01/05/1970,     6.9400,     6.9400,     6.9400,     6.9400,             0 
01/06/1970,     2.4700,     2.4700,     2.4700,     2.4700,             0 
01/07/1970,     3.5200,     3.5200,     3.5200,     3.5200,             0 
01/08/1970,     4.6300,     4.6300,     4.6300,     4.6300,             0 
01/09/1970,     3.0700,     3.0700,     3.0700,     3.0700,             0 
01/12/1970,     2.0000,     2.0000,     2.0000,     2.0000,             0 
01/13/1970,     3.3300,     3.3300,     3.3300,     3.3300,             0 
01/14/1970,     3.6700,     3.6700,     3.6700,     3.6700,             0 
01/15/1970,     3.9000,     3.9000,     3.9000,     3.9000,             0 
01/16/1970,     2.9100,     2.9100,     2.9100,     2.9100,             0 
01/19/1970,     1.8900,     1.8900,     1.8900,     1.8900,             0 
01/20/1970,     4.8000,     4.8000,     4.8000,     4.8000,             0 
01/21/1970,     4.5000,     4.5000,     4.5000,     4.5000,             0 
01/22/1970,     4.9300,     4.9300,     4.9300,     4.9300,             0 
01/23/1970,     1.9200,     1.9200,     1.9200,     1.9200,             0 
01/26/1970,     1.8400,     1.8400,     1.8400,     1.8400,             0 
01/27/1970,     2.3300,     2.3300,     2.3300,     2.3300,             0 
01/28/1970,     2.5100,     2.5100,     2.5100,     2.5100,             0 
01/29/1970,     1.9300,     1.9300,     1.9300,     1.9300,             0 
01/30/1970,     3.2400,     3.2400,     3.2400,     3.2400,             0 
02/02/1970,     7.5900,     7.5900,     7.5900,     7.5900,             0 
02/03/1970,     10.470,     10.470,     10.470,     10.470,             0 
02/04/1970,     2.6300,     2.6300,     2.6300,     2.6300,             0 
02/05/1970,     3.0600,     3.0600,     3.0600,     3.0600,             0 
02/06/1970,     5.4900,     5.4900,     5.4900,     5.4900,             0 
02/09/1970,     6.1100,     6.1100,     6.1100,     6.1100,             0 
02/10/1970,     2.1800,     2.1800,     2.1800,     2.1800,             0 
02/11/1970,     7.1700,     7.1700,     7.1700,     7.1700,             0 
02/12/1970,     4.1200,     4.1200,     4.1200,     4.1200,             0 
02/13/1970,     4.2200,     4.2200,     4.2200,     4.2200,             0 
02/16/1970,     4.2900,     4.2900,     4.2900,     4.2900,             0 
02/17/1970,     3.9400,     3.9400,     3.9400,     3.9400,             0 
02/18/1970,     8.2500,     8.2500,     8.2500,     8.2500,             0 
02/19/1970,     6.4200,     6.4200,     6.4200,     6.4200,             0 
02/20/1970,     5.3800,     5.3800,     5.3800,     5.3800,             0 
02/24/1970,     5.0000,     5.0000,     5.0000,     5.0000,             0 
02/25/1970,     10.370,     10.370,     10.370,     10.370,             0 
02/26/1970,     3.9500,     3.9500,     3.9500,     3.9500,             0 
02/27/1970,     8.1100,     8.1100,     8.1100,     8.1100,             0 
03/02/1970,     6.6000,     6.6000,     6.6000,     6.6000,             0 
03/03/1970,     6.6900,     6.6900,     6.6900,     6.6900,             0 
03/04/1970,     4.9500,     4.9500,     4.9500,     4.9500,             0 
03/05/1970,     5.8100,     5.8100,     5.8100,     5.8100,             0 
03/06/1970,     2.6400,     2.6400,     2.6400,     2.6400,             0 
03/09/1970,     1.6200,     1.6200,     1.6200,     1.6200,             0 
03/10/1970,     4.0000,     4.0000,     4.0000,     4.0000,             0 
03/11/1970,     3.3700,     3.3700,     3.3700,     3.3700,             0 
03/12/1970,     2.1900,     2.1900,     2.1900,     2.1900,             0 
03/13/1970,     2.0200,     2.0200,     2.0200,     2.0200,             0 
03/16/1970,     1.3800,     1.3800,     1.3800,     1.3800,             0 
03/17/1970,     4.5700,     4.5700,     4.5700,     4.5700,             0 
03/18/1970,     4.2700,     4.2700,     4.2700,     4.2700,             0 
03/19/1970,     2.7700,     2.7700,     2.7700,     2.7700,             0 
03/20/1970,     2.0900,     2.0900,     2.0900,     2.0900,             0 
03/23/1970,     2.8300,     2.8300,     2.8300,     2.8300,             0 
03/24/1970,     5.7800,     5.7800,     5.7800,     5.7800,             0 
03/25/1970,     15.620,     15.620,     15.620,     15.620,             0 
03/26/1970,     6.2900,     6.2900,     6.2900,     6.2900,             0 
03/30/1970,     3.2400,     3.2400,     3.2400,     3.2400,             0 
03/31/1970,     3.6300,     3.6300,     3.6300,     3.6300,             0 
04/01/1970,     5.6200,     5.6200,     5.6200,     5.6200,             0 
04/02/1970,     3.4000,     3.4000,     3.4000,     3.4000,             0 
04/03/1970,     3.1200,     3.1200,     3.1200,     3.1200,             0 
04/06/1970,     1.6600,     1.6600,     1.6600,     1.6600,             0 
04/07/1970,     2.7500,     2.7500,     2.7500,     2.7500,             0 
04/08/1970,     2.9800,     2.9800,     2.9800,     2.9800,             0 
04/09/1970,     3.3500,     3.3500,     3.3500,     3.3500,             0 
04/10/1970,     2.0900,     2.0900,     2.0900,     2.0900,             0 
04/13/1970,     1.3700,     1.3700,     1.3700,     1.3700,             0 
04/14/1970,     2.4900,     2.4900,     2.4900,     2.4900,             0 
04/15/1970,     2.8200,     2.8200,     2.8200,     2.8200,             0 
04/16/1970,     1.4600,     1.4600,     1.4600,     1.4600,             0 
04/17/1970,     3.4000,     3.4000,     3.4000,     3.4000,             0 
04/20/1970,     3.9300,     3.9300,     3.9300,     3.9300,             0 
04/21/1970,     2.4200,     2.4200,     2.4200,     2.4200,             0 
04/22/1970,     0.8700,     0.8700,     0.8700,     0.8700,             0 
04/23/1970,     1.0400,     1.0400,     1.0400,     1.0400,             0 
04/24/1970,     2.6300,     2.6300,     2.6300,     2.6300,             0 
04/27/1970,     0.7300,     0.7300,     0.7300,     0.7300,             0 
04/28/1970,     2.3800,     2.3800,     2.3800,     2.3800,             0 
04/29/1970,     11.840,     11.840,     11.840,     11.840,             0 
04/30/1970,     3.4200,     3.4200,     3.4200,     3.4200,             0 
05/01/1970,     2.9400,     2.9400,     2.9400,     2.9400,             0 
05/04/1970,     0.4600,     0.4600,     0.4600,     0.4600,             0 
05/05/1970,     1.7000,     1.7000,     1.7000,     1.7000,             0 
05/06/1970,     10.550,     10.550,     10.550,     10.550,             0 
05/07/1970,     5.0400,     5.0400,     5.0400,     5.0400,             0 
05/08/1970,     1.9900,     1.9900,     1.9900,     1.9900,             0 
05/11/1970,     0.8600,     0.8600,     0.8600,     0.8600,             0 
05/12/1970,     2.2400,     2.2400,     2.2400,     2.2400,             0 
05/13/1970,     1.2700,     1.2700,     1.2700,     1.2700,             0 
05/14/1970,     3.0300,     3.0300,     3.0300,     3.0300,             0 
05/15/1970,     10.100,     10.100,     10.100,     10.100,             0 
05/18/1970,     3.5400,     3.5400,     3.5400,     3.5400,             0 
05/19/1970,     0.9300,     0.9300,     0.9300,     0.9300,             0 
05/20/1970,     0.6700,     0.6700,     0.6700,     0.6700,             0 
05/21/1970,     2.7600,     2.7600,     2.7600,     2.7600,             0 
05/22/1970,     3.8100,     3.8100,     3.8100,     3.8100,             0 
05/25/1970,     0.6100,     0.6100,     0.6100,     0.6100,             0 
