$SPXA200R, Daily
      Date,       Open,       High,        Low,      Close,        Volume
12/28/2001,     58.200,     58.200,     58.200,     58.200,            0
12/31/2001,     60.800,     60.800,     60.800,     60.800,            0
01/02/2002,     58.600,     58.600,     58.600,     58.600,            0
01/03/2002,     57.000,     57.000,     57.000,     57.000,            0
01/04/2002,     60.400,     60.400,     60.400,     60.400,            0
01/07/2002,     64.600,     64.600,     64.600,     64.600,            0
01/08/2002,     63.800,     63.800,     63.800,     63.800,            0
01/09/2002,     61.600,     61.600,     61.600,     61.600,            0
01/10/2002,     60.400,     60.400,     60.400,     60.400,            0
01/11/2002,     59.000,     59.000,     59.000,     59.000,            0
01/14/2002,     56.600,     56.600,     56.600,     56.600,            0
01/15/2002,     54.200,     54.200,     54.200,     54.200,            0
01/16/2002,     55.600,     55.600,     55.600,     55.600,            0
01/17/2002,     49.800,     49.800,     49.800,     49.800,            0
01/18/2002,     52.600,     52.600,     52.600,     52.600,            0
01/22/2002,     51.200,     51.200,     51.200,     51.200,            0
01/23/2002,     50.600,     50.600,     50.600,     50.600,            0
01/24/2002,     51.600,     51.600,     51.600,     51.600,            0
01/25/2002,     55.600,     55.600,     55.600,     55.600,            0
01/28/2002,     56.600,     56.600,     56.600,     56.600,            0
01/29/2002,     57.000,     57.000,     57.000,     57.000,            0
01/30/2002,     48.800,     48.800,     48.800,     48.800,            0
01/31/2002,     52.200,     52.200,     52.200,     52.200,            0
02/01/2002,     55.800,     55.800,     55.800,     55.800,            0
02/04/2002,     54.800,     54.800,     54.800,     54.800,            0
02/05/2002,     48.200,     48.200,     48.200,     48.200,            0
02/06/2002,     47.800,     47.800,     47.800,     47.800,            0
02/07/2002,     46.200,     46.200,     46.200,     46.200,            0
02/08/2002,     45.200,     45.200,     45.200,     45.200,            0
02/11/2002,     48.800,     48.800,     48.800,     48.800,            0
02/12/2002,     54.400,     54.400,     54.400,     54.400,            0
02/13/2002,     53.600,     53.600,     53.600,     53.600,            0
02/14/2002,     56.800,     56.800,     56.800,     56.800,            0
02/15/2002,     57.400,     57.400,     57.400,     57.400,            0
02/19/2002,     55.200,     55.200,     55.200,     55.200,            0
02/20/2002,     49.800,     49.800,     49.800,     49.800,            0
02/21/2002,     53.200,     53.200,     53.200,     53.200,            0
02/22/2002,     50.200,     50.200,     50.200,     50.200,            0
02/25/2002,     51.800,     51.800,     51.800,     51.800,            0
02/26/2002,     56.800,     56.800,     56.800,     56.800,            0
02/27/2002,     57.800,     57.800,     57.800,     57.800,            0
02/28/2002,     58.400,     58.400,     58.400,     58.400,            0
03/01/2002,     57.200,     57.200,     57.200,     57.200,            0
03/04/2002,     63.600,     63.600,     63.600,     63.600,            0
03/05/2002,     67.400,     67.400,     67.400,     67.400,            0
03/06/2002,     67.400,     67.400,     67.400,     67.400,            0
03/07/2002,     72.600,     72.600,     72.600,     72.600,            0
03/08/2002,     71.200,     71.200,     71.200,     71.200,            0
03/11/2002,     72.800,     72.800,     72.800,     72.800,            0
03/12/2002,     75.600,     75.600,     75.600,     75.600,            0
03/13/2002,     74.200,     74.200,     74.200,     74.200,            0
03/14/2002,     73.400,     73.400,     73.400,     73.400,            0
03/15/2002,     73.400,     73.400,     73.400,     73.400,            0
03/18/2002,     76.000,     76.000,     76.000,     76.000,            0
03/19/2002,     76.200,     76.200,     76.200,     76.200,            0
03/20/2002,     77.600,     77.600,     77.600,     77.600,            0
03/21/2002,     75.200,     75.200,     75.200,     75.200,            0
03/22/2002,     76.600,     76.600,     76.600,     76.600,            0
03/25/2002,     75.200,     75.200,     75.200,     75.200,            0
03/26/2002,     72.000,     72.000,     72.000,     72.000,            0
03/27/2002,     74.000,     74.000,     74.000,     74.000,            0
03/28/2002,     76.200,     76.200,     76.200,     76.200,            0
04/01/2002,     75.600,     75.600,     75.600,     75.600,            0
04/02/2002,     75.600,     75.600,     75.600,     75.600,            0
04/03/2002,     74.600,     74.600,     74.600,     74.600,            0
04/04/2002,     71.000,     71.000,     71.000,     71.000,            0
04/05/2002,     72.400,     72.400,     72.400,     72.400,            0
04/08/2002,     72.600,     72.600,     72.600,     72.600,            0
04/09/2002,     73.600,     73.600,     73.600,     73.600,            0
04/10/2002,     73.200,     73.200,     73.200,     73.200,            0
04/11/2002,     75.400,     75.400,     75.400,     75.400,            0
04/12/2002,     72.200,     72.200,     72.200,     72.200,            0
04/15/2002,     71.800,     71.800,     71.800,     71.800,            0
04/16/2002,     72.400,     72.400,     72.400,     72.400,            0
04/17/2002,     74.200,     74.200,     74.200,     74.200,            0
04/18/2002,     75.800,     75.800,     75.800,     75.800,            0
04/19/2002,     74.200,     74.200,     74.200,     74.200,            0
04/22/2002,     74.000,     74.000,     74.000,     74.000,            0
04/23/2002,     71.400,     71.400,     71.400,     71.400,            0
04/24/2002,     70.800,     70.800,     70.800,     70.800,            0
04/25/2002,     69.000,     69.000,     69.000,     69.000,            0
04/26/2002,     68.000,     68.000,     68.000,     68.000,            0
04/29/2002,     66.000,     66.000,     66.000,     66.000,            0
04/30/2002,     62.800,     62.800,     62.800,     62.800,            0
05/01/2002,     66.200,     66.200,     66.200,     66.200,            0
05/02/2002,     67.600,     67.600,     67.600,     67.600,            0
05/03/2002,     66.800,     66.800,     66.800,     66.800,            0
05/06/2002,     65.600,     65.600,     65.600,     65.600,            0
05/07/2002,     62.400,     62.400,     62.400,     62.400,            0
05/08/2002,     62.200,     62.200,     62.200,     62.200,            0
05/09/2002,     67.400,     67.400,     67.400,     67.400,            0
05/10/2002,     64.800,     64.800,     64.800,     64.800,            0
05/13/2002,     61.800,     61.800,     61.800,     61.800,            0
05/14/2002,     64.800,     64.800,     64.800,     64.800,            0
05/15/2002,     68.800,     68.800,     68.800,     68.800,            0
05/16/2002,     68.800,     68.800,     68.800,     68.800,            0
05/17/2002,     69.000,     69.000,     69.000,     69.000,            0
05/20/2002,     70.200,     70.200,     70.200,     70.200,            0
05/21/2002,     67.400,     67.400,     67.400,     67.400,            0
05/22/2002,     66.200,     66.200,     66.200,     66.200,            0
05/23/2002,     66.400,     66.400,     66.400,     66.400,            0
05/24/2002,     68.000,     68.000,     68.000,     68.000,            0
05/28/2002,     66.200,     66.200,     66.200,     66.200,            0
05/29/2002,     65.000,     65.000,     65.000,     65.000,            0
05/30/2002,     63.400,     63.400,     63.400,     63.400,            0
05/31/2002,     61.600,     61.600,     61.600,     61.600,            0
06/03/2002,     64.000,     64.000,     64.000,     64.000,            0
06/04/2002,     58.600,     58.600,     58.600,     58.600,            0
06/05/2002,     58.400,     58.400,     58.400,     58.400,            0
06/06/2002,     60.000,     60.000,     60.000,     60.000,            0
06/07/2002,     56.000,     56.000,     56.000,     56.000,            0
06/10/2002,     58.400,     58.400,     58.400,     58.400,            0
06/11/2002,     58.800,     58.800,     58.800,     58.800,            0
06/12/2002,     55.200,     55.200,     55.200,     55.200,            0
06/13/2002,     55.000,     55.000,     55.000,     55.000,            0
06/14/2002,     51.400,     51.400,     51.400,     51.400,            0
06/17/2002,     50.200,     50.200,     50.200,     50.200,            0
06/18/2002,     56.400,     56.400,     56.400,     56.400,            0
06/19/2002,     58.000,     58.000,     58.000,     58.000,            0
06/20/2002,     55.200,     55.200,     55.200,     55.200,            0
06/21/2002,     52.400,     52.400,     52.400,     52.400,            0
06/24/2002,     50.000,     50.000,     50.000,     50.000,            0
06/25/2002,     47.400,     47.400,     47.400,     47.400,            0
06/26/2002,     43.800,     43.800,     43.800,     43.800,            0
06/27/2002,     43.000,     43.000,     43.000,     43.000,            0
06/28/2002,     45.200,     45.200,     45.200,     45.200,            0
07/01/2002,     47.000,     47.000,     47.000,     47.000,            0
07/02/2002,     43.000,     43.000,     43.000,     43.000,            0
07/03/2002,     36.800,     36.800,     36.800,     36.800,            0
07/05/2002,     36.200,     36.200,     36.200,     36.200,            0
07/08/2002,     44.200,     44.200,     44.200,     44.200,            0
07/09/2002,     41.800,     41.800,     41.800,     41.800,            0
07/10/2002,     35.200,     35.200,     35.200,     35.200,            0
07/11/2002,     28.000,     28.000,     28.000,     28.000,            0
07/12/2002,     25.600,     25.600,     25.600,     25.600,            0
07/15/2002,     23.400,     23.400,     23.400,     23.400,            0
07/16/2002,     19.800,     19.800,     19.800,     19.800,            0
07/17/2002,     13.600,     13.600,     13.600,     13.600,            0
07/18/2002,     15.000,     15.000,     15.000,     15.000,            0
07/19/2002,     10.000,     10.000,     10.000,     10.000,            0
07/22/2002,      5.000,      5.000,      5.000,      5.000,            0
07/23/2002,      3.200,      3.200,      3.200,      3.200,            0
07/24/2002,      3.600,      3.600,      3.600,      3.600,            0
07/25/2002,      8.200,      8.200,      8.200,      8.200,            0
07/26/2002,     11.800,     11.800,     11.800,     11.800,            0
07/29/2002,     11.600,     11.600,     11.600,     11.600,            0
07/30/2002,     20.000,     20.000,     20.000,     20.000,            0
07/31/2002,     20.400,     20.400,     20.400,     20.400,            0
08/01/2002,     22.000,     22.000,     22.000,     22.000,            0
08/02/2002,     18.600,     18.600,     18.600,     18.600,            0
08/05/2002,     13.200,     13.200,     13.200,     13.200,            0
08/06/2002,     10.400,     10.400,     10.400,     10.400,            0
08/07/2002,     14.400,     14.400,     14.400,     14.400,            0
08/08/2002,     16.800,     16.800,     16.800,     16.800,            0
08/09/2002,     22.400,     22.400,     22.400,     22.400,            0
08/12/2002,     23.600,     23.600,     23.600,     23.600,            0
08/13/2002,     24.200,     24.200,     24.200,     24.200,            0
08/14/2002,     20.400,     20.400,     20.400,     20.400,            0
08/15/2002,     26.400,     26.400,     26.400,     26.400,            0
08/16/2002,     29.400,     29.400,     29.400,     29.400,            0
08/19/2002,     28.400,     28.400,     28.400,     28.400,            0
08/20/2002,     30.800,     30.800,     30.800,     30.800,            0
08/21/2002,     28.000,     28.000,     28.000,     28.000,            0
08/22/2002,     31.000,     31.000,     31.000,     31.000,            0
08/23/2002,     33.800,     33.800,     33.800,     33.800,            0
08/26/2002,     30.800,     30.800,     30.800,     30.800,            0
08/27/2002,     32.600,     32.600,     32.600,     32.600,            0
08/28/2002,     29.800,     29.800,     29.800,     29.800,            0
08/29/2002,     27.600,     27.600,     27.600,     27.600,            0
08/30/2002,     26.400,     26.400,     26.400,     26.400,            0
09/03/2002,     27.600,     27.600,     27.600,     27.600,            0
09/04/2002,     19.600,     19.600,     19.600,     19.600,            0
09/05/2002,     23.000,     23.000,     23.000,     23.000,            0
09/06/2002,     20.400,     20.400,     20.400,     20.400,            0
09/09/2002,     23.200,     23.200,     23.200,     23.200,            0
09/10/2002,     25.000,     25.000,     25.000,     25.000,            0
09/11/2002,     25.000,     25.000,     25.000,     25.000,            0
09/12/2002,     24.600,     24.600,     24.600,     24.600,            0
09/13/2002,     20.200,     20.200,     20.200,     20.200,            0
09/16/2002,     21.400,     21.400,     21.400,     21.400,            0
09/17/2002,     20.600,     20.600,     20.600,     20.600,            0
