$NYADU, Daily
      Date,       Open,       High,        Low,      Close,        Volume
01/29/1993,    576.000,    576.000,    576.000,    576.000,            0
02/01/1993,    578.000,    578.000,    578.000,    578.000,            0
02/02/1993,    573.000,    573.000,    573.000,    573.000,            0
02/03/1993,    534.000,    534.000,    534.000,    534.000,            0
02/04/1993,    511.000,    511.000,    511.000,    511.000,            0
02/05/1993,    541.000,    541.000,    541.000,    541.000,            0
02/08/1993,    575.000,    575.000,    575.000,    575.000,            0
02/09/1993,    544.000,    544.000,    544.000,    544.000,            0
02/10/1993,    631.000,    631.000,    631.000,    631.000,            0
02/11/1993,    615.000,    615.000,    615.000,    615.000,            0
02/12/1993,    585.000,    585.000,    585.000,    585.000,            0
02/16/1993,    392.000,    392.000,    392.000,    392.000,            0
02/17/1993,    525.000,    525.000,    525.000,    525.000,            0
02/18/1993,    543.000,    543.000,    543.000,    543.000,            0
02/19/1993,    511.000,    511.000,    511.000,    511.000,            0
02/22/1993,    473.000,    473.000,    473.000,    473.000,            0
02/23/1993,    514.000,    514.000,    514.000,    514.000,            0
02/24/1993,    547.000,    547.000,    547.000,    547.000,            0
02/25/1993,    593.000,    593.000,    593.000,    593.000,            0
02/26/1993,    566.000,    566.000,    566.000,    566.000,            0
03/01/1993,    540.000,    540.000,    540.000,    540.000,            0
03/02/1993,    559.000,    559.000,    559.000,    559.000,            0
03/03/1993,    581.000,    581.000,    581.000,    581.000,            0
03/04/1993,    597.000,    597.000,    597.000,    597.000,            0
03/05/1993,    608.000,    608.000,    608.000,    608.000,            0
03/08/1993,    500.000,    500.000,    500.000,    500.000,            0
03/09/1993,    543.000,    543.000,    543.000,    543.000,            0
03/10/1993,    616.000,    616.000,    616.000,    616.000,            0
03/11/1993,    603.000,    603.000,    603.000,    603.000,            0
03/12/1993,    547.000,    547.000,    547.000,    547.000,            0
03/15/1993,    595.000,    595.000,    595.000,    595.000,            0
03/16/1993,    590.000,    590.000,    590.000,    590.000,            0
03/17/1993,    598.000,    598.000,    598.000,    598.000,            0
03/18/1993,    576.000,    576.000,    576.000,    576.000,            0
03/19/1993,    621.000,    621.000,    621.000,    621.000,            0
03/22/1993,    611.000,    611.000,    611.000,    611.000,            0
03/23/1993,    627.000,    627.000,    627.000,    627.000,            0
03/24/1993,    609.000,    609.000,    609.000,    609.000,            0
03/25/1993,    609.000,    609.000,    609.000,    609.000,            0
03/26/1993,    642.000,    642.000,    642.000,    642.000,            0
03/29/1993,    628.000,    628.000,    628.000,    628.000,            0
03/30/1993,    627.000,    627.000,    627.000,    627.000,            0
03/31/1993,    626.000,    626.000,    626.000,    626.000,            0
04/01/1993,    606.000,    606.000,    606.000,    606.000,            0
04/02/1993,    482.000,    482.000,    482.000,    482.000,            0
04/05/1993,    592.000,    592.000,    592.000,    592.000,            0
04/06/1993,    570.000,    570.000,    570.000,    570.000,            0
04/07/1993,    581.000,    581.000,    581.000,    581.000,            0
04/08/1993,    620.000,    620.000,    620.000,    620.000,            0
04/12/1993,    558.000,    558.000,    558.000,    558.000,            0
04/13/1993,    556.000,    556.000,    556.000,    556.000,            0
04/14/1993,    611.000,    611.000,    611.000,    611.000,            0
04/15/1993,    558.000,    558.000,    558.000,    558.000,            0
04/16/1993,    666.000,    666.000,    666.000,    666.000,            0
04/19/1993,    552.000,    552.000,    552.000,    552.000,            0
04/20/1993,    581.000,    581.000,    581.000,    581.000,            0
