$NYDEC, Daily
      Date,       Open,       High,        Low,      Close,        Volume
01/29/1993,    828.000,    828.000,    828.000,    828.000,            0
02/01/1993,    670.000,    670.000,    670.000,    670.000,            0
02/02/1993,    775.000,    775.000,    775.000,    775.000,            0
02/03/1993,    604.000,    604.000,    604.000,    604.000,            0
02/04/1993,    623.000,    623.000,    623.000,    623.000,            0
02/05/1993,   1005.000,   1005.000,   1005.000,   1005.000,            0
02/08/1993,    973.000,    973.000,    973.000,    973.000,            0
02/09/1993,   1206.000,   1206.000,   1206.000,   1206.000,            0
02/10/1993,    873.000,    873.000,    873.000,    873.000,            0
02/11/1993,    774.000,    774.000,    774.000,    774.000,            0
02/12/1993,   1116.000,   1116.000,   1116.000,   1116.000,            0
02/16/1993,   1698.000,   1698.000,   1698.000,   1698.000,            0
02/17/1993,   1151.000,   1151.000,   1151.000,   1151.000,            0
02/18/1993,    878.000,    878.000,    878.000,    878.000,            0
02/19/1993,    682.000,    682.000,    682.000,    682.000,            0
02/22/1993,    935.000,    935.000,    935.000,    935.000,            0
02/23/1993,    927.000,    927.000,    927.000,    927.000,            0
02/24/1993,    697.000,    697.000,    697.000,    697.000,            0
02/25/1993,    817.000,    817.000,    817.000,    817.000,            0
02/26/1993,    757.000,    757.000,    757.000,    757.000,            0
03/01/1993,    852.000,    852.000,    852.000,    852.000,            0
03/02/1993,    656.000,    656.000,    656.000,    656.000,            0
03/03/1993,    632.000,    632.000,    632.000,    632.000,            0
03/04/1993,    931.000,    931.000,    931.000,    931.000,            0
03/05/1993,    961.000,    961.000,    961.000,    961.000,            0
03/08/1993,    506.000,    506.000,    506.000,    506.000,            0
03/09/1993,    825.000,    825.000,    825.000,    825.000,            0
03/10/1993,    852.000,    852.000,    852.000,    852.000,            0
03/11/1993,    954.000,    954.000,    954.000,    954.000,            0
03/12/1993,   1390.000,   1390.000,   1390.000,   1390.000,            0
03/15/1993,    842.000,    842.000,    842.000,    842.000,            0
03/16/1993,    945.000,    945.000,    945.000,    945.000,            0
03/17/1993,   1158.000,   1158.000,   1158.000,   1158.000,            0
03/18/1993,    652.000,    652.000,    652.000,    652.000,            0
03/19/1993,   1059.000,   1059.000,   1059.000,   1059.000,            0
03/22/1993,   1199.000,   1199.000,   1199.000,   1199.000,            0
03/23/1993,    983.000,    983.000,    983.000,    983.000,            0
03/24/1993,   1001.000,   1001.000,   1001.000,   1001.000,            0
03/25/1993,    741.000,    741.000,    741.000,    741.000,            0
03/26/1993,   1007.000,   1007.000,   1007.000,   1007.000,            0
03/29/1993,    808.000,    808.000,    808.000,    808.000,            0
03/30/1993,    855.000,    855.000,    855.000,    855.000,            0
03/31/1993,    729.000,    729.000,    729.000,    729.000,            0
04/01/1993,   1043.000,   1043.000,   1043.000,   1043.000,            0
04/02/1993,   1614.000,   1614.000,   1614.000,   1614.000,            0
04/05/1993,    988.000,    988.000,    988.000,    988.000,            0
04/06/1993,   1055.000,   1055.000,   1055.000,   1055.000,            0
04/07/1993,    861.000,    861.000,    861.000,    861.000,            0
04/08/1993,    878.000,    878.000,    878.000,    878.000,            0
04/12/1993,    610.000,    610.000,    610.000,    610.000,            0
04/13/1993,    704.000,    704.000,    704.000,    704.000,            0
04/14/1993,    874.000,    874.000,    874.000,    874.000,            0
04/15/1993,   1016.000,   1016.000,   1016.000,   1016.000,            0
04/16/1993,    887.000,    887.000,    887.000,    887.000,            0
04/19/1993,   1182.000,   1182.000,   1182.000,   1182.000,            0
04/20/1993,   1232.000,   1232.000,   1232.000,   1232.000,            0
04/21/1993,    963.000,    963.000,    963.000,    963.000,            0
04/22/1993,   1148.000,   1148.000,   1148.000,   1148.000,            0
04/23/1993,   1183.000,   1183.000,   1183.000,   1183.000,            0
04/26/1993,   1260.000,   1260.000,   1260.000,   1260.000,            0
04/27/1993,    954.000,    954.000,    954.000,    954.000,            0
04/28/1993,    917.000,    917.000,    917.000,    917.000,            0
04/29/1993,    875.000,    875.000,    875.000,    875.000,            0
04/30/1993,    670.000,    670.000,    670.000,    670.000,            0
05/03/1993,    805.000,    805.000,    805.000,    805.000,            0
05/04/1993,    702.000,    702.000,    702.000,    702.000,            0
05/05/1993,    788.000,    788.000,    788.000,    788.000,            0
05/06/1993,    943.000,    943.000,    943.000,    943.000,            0
05/07/1993,    981.000,    981.000,    981.000,    981.000,            0
05/10/1993,    835.000,    835.000,    835.000,    835.000,            0
05/11/1993,    856.000,    856.000,    856.000,    856.000,            0
05/12/1993,    938.000,    938.000,    938.000,    938.000,            0
05/13/1993,   1412.000,   1412.000,   1412.000,   1412.000,            0
05/14/1993,   1016.000,   1016.000,   1016.000,   1016.000,            0
05/17/1993,   1073.000,   1073.000,   1073.000,   1073.000,            0
05/18/1993,   1082.000,   1082.000,   1082.000,   1082.000,            0
05/19/1993,    761.000,    761.000,    761.000,    761.000,            0
05/20/1993,    775.000,    775.000,    775.000,    775.000,            0
05/21/1993,   1134.000,   1134.000,   1134.000,   1134.000,            0
05/24/1993,    992.000,    992.000,    992.000,    992.000,            0
05/25/1993,    795.000,    795.000,    795.000,    795.000,            0
05/26/1993,    654.000,    654.000,    654.000,    654.000,            0
05/27/1993,    998.000,    998.000,    998.000,    998.000,            0
05/28/1993,   1014.000,   1014.000,   1014.000,   1014.000,            0
06/01/1993,    712.000,    712.000,    712.000,    712.000,            0
06/02/1993,    902.000,    902.000,    902.000,    902.000,            0
06/03/1993,   1000.000,   1000.000,   1000.000,   1000.000,            0
06/04/1993,   1199.000,   1199.000,   1199.000,   1199.000,            0
06/07/1993,   1149.000,   1149.000,   1149.000,   1149.000,            0
06/08/1993,   1334.000,   1334.000,   1334.000,   1334.000,            0
06/09/1993,    887.000,    887.000,    887.000,    887.000,            0
06/10/1993,   1044.000,   1044.000,   1044.000,   1044.000,            0
06/11/1993,    815.000,    815.000,    815.000,    815.000,            0
06/14/1993,    960.000,    960.000,    960.000,    960.000,            0
06/15/1993,    922.000,    922.000,    922.000,    922.000,            0
06/16/1993,    897.000,    897.000,    897.000,    897.000,            0
06/17/1993,    881.000,    881.000,    881.000,    881.000,            0
06/18/1993,   1218.000,   1218.000,   1218.000,   1218.000,            0
06/21/1993,    837.000,    837.000,    837.000,    837.000,            0
06/22/1993,    959.000,    959.000,    959.000,    959.000,            0
06/23/1993,   1073.000,   1073.000,   1073.000,   1073.000,            0
06/24/1993,    771.000,    771.000,    771.000,    771.000,            0
06/25/1993,    767.000,    767.000,    767.000,    767.000,            0
06/28/1993,    586.000,    586.000,    586.000,    586.000,            0
06/29/1993,    979.000,    979.000,    979.000,    979.000,            0
