$NYHGH, Daily
      Date,       Open,       High,        Low,      Close,        Volume 
01/02/1970,     21.000,     21.000,     21.000,     21.000,             0 
01/05/1970,     27.000,     27.000,     27.000,     27.000,             0 
01/06/1970,     11.000,     11.000,     11.000,     11.000,             0 
01/07/1970,     8.0000,     8.0000,     8.0000,     8.0000,             0 
01/08/1970,     11.000,     11.000,     11.000,     11.000,             0 
01/09/1970,     17.000,     17.000,     17.000,     17.000,             0 
01/12/1970,     14.000,     14.000,     14.000,     14.000,             0 
01/13/1970,     26.000,     26.000,     26.000,     26.000,             0 
01/14/1970,     18.000,     18.000,     18.000,     18.000,             0 
01/15/1970,     21.000,     21.000,     21.000,     21.000,             0 
01/16/1970,     27.000,     27.000,     27.000,     27.000,             0 
01/19/1970,     6.0000,     6.0000,     6.0000,     6.0000,             0 
01/20/1970,     8.0000,     8.0000,     8.0000,     8.0000,             0 
01/21/1970,     10.000,     10.000,     10.000,     10.000,             0 
01/22/1970,     22.000,     22.000,     22.000,     22.000,             0 
01/23/1970,     16.000,     16.000,     16.000,     16.000,             0 
01/26/1970,     4.0000,     4.0000,     4.0000,     4.0000,             0 
01/27/1970,     5.0000,     5.0000,     5.0000,     5.0000,             0 
01/28/1970,     8.0000,     8.0000,     8.0000,     8.0000,             0 
01/29/1970,     0.0000,     0.0000,     0.0000,     0.0000,             0 
01/30/1970,     0.0000,     0.0000,     0.0000,     0.0000,             0 
02/02/1970,     1.0000,     1.0000,     1.0000,     1.0000,             0 
02/03/1970,     3.0000,     3.0000,     3.0000,     3.0000,             0 
02/04/1970,     7.0000,     7.0000,     7.0000,     7.0000,             0 
02/05/1970,     2.0000,     2.0000,     2.0000,     2.0000,             0 
02/06/1970,     3.0000,     3.0000,     3.0000,     3.0000,             0 
02/09/1970,     6.0000,     6.0000,     6.0000,     6.0000,             0 
02/10/1970,     9.0000,     9.0000,     9.0000,     9.0000,             0 
02/11/1970,     13.000,     13.000,     13.000,     13.000,             0 
02/12/1970,     16.000,     16.000,     16.000,     16.000,             0 
02/13/1970,     12.000,     12.000,     12.000,     12.000,             0 
02/16/1970,     15.000,     15.000,     15.000,     15.000,             0 
02/17/1970,     14.000,     14.000,     14.000,     14.000,             0 
02/18/1970,     16.000,     16.000,     16.000,     16.000,             0 
02/19/1970,     14.000,     14.000,     14.000,     14.000,             0 
02/20/1970,     12.000,     12.000,     12.000,     12.000,             0 
02/24/1970,     11.000,     11.000,     11.000,     11.000,             0 
02/25/1970,     16.000,     16.000,     16.000,     16.000,             0 
02/26/1970,     11.000,     11.000,     11.000,     11.000,             0 
02/27/1970,     21.000,     21.000,     21.000,     21.000,             0 
03/02/1970,     23.000,     23.000,     23.000,     23.000,             0 
03/03/1970,     14.000,     14.000,     14.000,     14.000,             0 
03/04/1970,     21.000,     21.000,     21.000,     21.000,             0 
03/05/1970,     19.000,     19.000,     19.000,     19.000,             0 
03/06/1970,     7.0000,     7.0000,     7.0000,     7.0000,             0 
03/09/1970,     3.0000,     3.0000,     3.0000,     3.0000,             0 
03/10/1970,     3.0000,     3.0000,     3.0000,     3.0000,             0 
03/11/1970,     2.0000,     2.0000,     2.0000,     2.0000,             0 
03/12/1970,     2.0000,     2.0000,     2.0000,     2.0000,             0 
03/13/1970,     5.0000,     5.0000,     5.0000,     5.0000,             0 
03/16/1970,     19.000,     19.000,     19.000,     19.000,             0 
03/17/1970,     20.000,     20.000,     20.000,     20.000,             0 
03/18/1970,     36.000,     36.000,     36.000,     36.000,             0 
03/19/1970,     35.000,     35.000,     35.000,     35.000,             0 
03/20/1970,     29.000,     29.000,     29.000,     29.000,             0 
03/23/1970,     22.000,     22.000,     22.000,     22.000,             0 
03/24/1970,     22.000,     22.000,     22.000,     22.000,             0 
03/25/1970,    103.000,    103.000,    103.000,    103.000,             0 
03/26/1970,     81.000,     81.000,     81.000,     81.000,             0 
03/30/1970,     54.000,     54.000,     54.000,     54.000,             0 
03/31/1970,     57.000,     57.000,     57.000,     57.000,             0 
04/01/1970,     94.000,     94.000,     94.000,     94.000,             0 
04/02/1970,     80.000,     80.000,     80.000,     80.000,             0 
04/03/1970,     48.000,     48.000,     48.000,     48.000,             0 
04/06/1970,     44.000,     44.000,     44.000,     44.000,             0 
04/07/1970,     39.000,     39.000,     39.000,     39.000,             0 
