$CPC, Daily
      Date,       Open,       High,        Low,      Close,        Volume
09/27/1995,      0.790,      0.790,      0.790,      0.790,            0
09/28/1995,      0.610,      0.610,      0.610,      0.610,            0
09/29/1995,      0.780,      0.780,      0.780,      0.780,            0
10/02/1995,      0.840,      0.840,      0.840,      0.840,            0
10/03/1995,      0.990,      0.990,      0.990,      0.990,            0
10/04/1995,      0.810,      0.810,      0.810,      0.810,            0
10/05/1995,      0.970,      0.970,      0.970,      0.970,            0
10/06/1995,      1.040,      1.040,      1.040,      1.040,            0
10/09/1995,      1.050,      1.050,      1.050,      1.050,            0
10/10/1995,      1.040,      1.040,      1.040,      1.040,            0
10/11/1995,      0.680,      0.680,      0.680,      0.680,            0
10/12/1995,      0.630,      0.630,      0.630,      0.630,            0
10/13/1995,      0.760,      0.760,      0.760,      0.760,            0
10/16/1995,      0.870,      0.870,      0.870,      0.870,            0
10/17/1995,      0.760,      0.760,      0.760,      0.760,            0
10/18/1995,      0.630,      0.630,      0.630,      0.630,            0
10/19/1995,      0.630,      0.630,      0.630,      0.630,            0
10/20/1995,      0.790,      0.790,      0.790,      0.790,            0
10/23/1995,      0.830,      0.830,      0.830,      0.830,            0
10/24/1995,      0.730,      0.730,      0.730,      0.730,            0
10/25/1995,      0.960,      0.960,      0.960,      0.960,            0
10/26/1995,      0.960,      0.960,      0.960,      0.960,            0
10/27/1995,      0.910,      0.910,      0.910,      0.910,            0
10/30/1995,      0.840,      0.840,      0.840,      0.840,            0
10/31/1995,      0.880,      0.880,      0.880,      0.880,            0
11/01/1995,      0.800,      0.800,      0.800,      0.800,            0
11/02/1995,      0.680,      0.680,      0.680,      0.680,            0
11/03/1995,      0.730,      0.730,      0.730,      0.730,            0
11/06/1995,      0.700,      0.700,      0.700,      0.700,            0
11/07/1995,      0.810,      0.810,      0.810,      0.810,            0
11/08/1995,      0.740,      0.740,      0.740,      0.740,            0
11/09/1995,      0.700,      0.700,      0.700,      0.700,            0
11/10/1995,      0.750,      0.750,      0.750,      0.750,            0
11/13/1995,      0.870,      0.870,      0.870,      0.870,            0
11/14/1995,      0.920,      0.920,      0.920,      0.920,            0
11/15/1995,      0.860,      0.860,      0.860,      0.860,            0
11/16/1995,      0.750,      0.750,      0.750,      0.750,            0
11/17/1995,      0.740,      0.740,      0.740,      0.740,            0
11/20/1995,      0.830,      0.830,      0.830,      0.830,            0
11/21/1995,      0.740,      0.740,      0.740,      0.740,            0
11/22/1995,      0.760,      0.760,      0.760,      0.760,            0
11/24/1995,      0.680,      0.680,      0.680,      0.680,            0
11/27/1995,      0.750,      0.750,      0.750,      0.750,            0
11/28/1995,      0.810,      0.810,      0.810,      0.810,            0
11/29/1995,      0.620,      0.620,      0.620,      0.620,            0
11/30/1995,      0.750,      0.750,      0.750,      0.750,            0
12/01/1995,      0.730,      0.730,      0.730,      0.730,            0
12/04/1995,      0.760,      0.760,      0.760,      0.760,            0
12/05/1995,      0.790,      0.790,      0.790,      0.790,            0
12/06/1995,      0.820,      0.820,      0.820,      0.820,            0
12/07/1995,      0.970,      0.970,      0.970,      0.970,            0
12/08/1995,      0.860,      0.860,      0.860,      0.860,            0
12/11/1995,      0.790,      0.790,      0.790,      0.790,            0
12/12/1995,      0.580,      0.580,      0.580,      0.580,            0
12/13/1995,      0.700,      0.700,      0.700,      0.700,            0
12/14/1995,      0.930,      0.930,      0.930,      0.930,            0
12/15/1995,      1.020,      1.020,      1.020,      1.020,            0
12/18/1995,      0.940,      0.940,      0.940,      0.940,            0
12/19/1995,      0.810,      0.810,      0.810,      0.810,            0
12/20/1995,      0.750,      0.750,      0.750,      0.750,            0
12/21/1995,      0.850,      0.850,      0.850,      0.850,            0
12/22/1995,      0.580,      0.580,      0.580,      0.580,            0
12/26/1995,      0.490,      0.490,      0.490,      0.490,            0
12/27/1995,      0.620,      0.620,      0.620,      0.620,            0
12/28/1995,      0.620,      0.620,      0.620,      0.620,            0
12/29/1995,      0.700,      0.700,      0.700,      0.700,            0
01/02/1996,      0.640,      0.640,      0.640,      0.640,            0
01/03/1996,      0.690,      0.690,      0.690,      0.690,            0
01/04/1996,      1.040,      1.040,      1.040,      1.040,            0
01/05/1996,      0.850,      0.850,      0.850,      0.850,            0
01/08/1996,      0.760,      0.760,      0.760,      0.760,            0
01/09/1996,      0.960,      0.960,      0.960,      0.960,            0
01/10/1996,      1.030,      1.030,      1.030,      1.030,            0
01/11/1996,      0.840,      0.840,      0.840,      0.840,            0
01/12/1996,      0.920,      0.920,      0.920,      0.920,            0
01/15/1996,      1.030,      1.030,      1.030,      1.030,            0
01/16/1996,      0.840,      0.840,      0.840,      0.840,            0
01/17/1996,      0.790,      0.790,      0.790,      0.790,            0
01/18/1996,      0.840,      0.840,      0.840,      0.840,            0
01/19/1996,      0.590,      0.590,      0.590,      0.590,            0
01/22/1996,      0.650,      0.650,      0.650,      0.650,            0
01/23/1996,      0.640,      0.640,      0.640,      0.640,            0
