$CPCE, Daily
      Date,       Open,       High,        Low,      Close,        Volume
10/17/2003,      0.460,      0.460,      0.460,      0.460,            0
10/20/2003,      0.520,      0.520,      0.520,      0.520,            0
10/21/2003,      0.590,      0.590,      0.590,      0.590,            0
10/22/2003,      0.770,      0.770,      0.770,      0.770,            0
10/23/2003,      0.720,      0.720,      0.720,      0.720,            0
10/24/2003,      0.790,      0.790,      0.790,      0.790,            0
10/27/2003,      0.510,      0.510,      0.510,      0.510,            0
10/28/2003,      0.660,      0.660,      0.660,      0.660,            0
10/29/2003,      0.530,      0.530,      0.530,      0.530,            0
10/30/2003,      0.700,      0.700,      0.700,      0.700,            0
10/31/2003,      1.030,      1.030,      1.030,      1.030,            0
11/03/2003,      0.470,      0.470,      0.470,      0.470,            0
11/04/2003,      0.490,      0.490,      0.490,      0.490,            0
11/05/2003,      0.550,      0.550,      0.550,      0.550,            0
11/06/2003,      0.610,      0.610,      0.610,      0.610,            0
11/07/2003,      0.610,      0.610,      0.610,      0.610,            0
11/10/2003,      0.780,      0.780,      0.780,      0.780,            0
11/11/2003,      0.730,      0.730,      0.730,      0.730,            0
11/12/2003,      0.680,      0.680,      0.680,      0.680,            0
11/13/2003,      0.630,      0.630,      0.630,      0.630,            0
11/14/2003,      0.550,      0.550,      0.550,      0.550,            0
11/17/2003,      0.650,      0.650,      0.650,      0.650,            0
11/18/2003,      0.630,      0.630,      0.630,      0.630,            0
11/19/2003,      0.770,      0.770,      0.770,      0.770,            0
11/20/2003,      0.650,      0.650,      0.650,      0.650,            0
11/21/2003,      0.660,      0.660,      0.660,      0.660,            0
11/24/2003,      0.510,      0.510,      0.510,      0.510,            0
11/25/2003,      0.480,      0.480,      0.480,      0.480,            0
11/26/2003,      0.540,      0.540,      0.540,      0.540,            0
11/28/2003,      0.550,      0.550,      0.550,      0.550,            0
12/01/2003,      0.540,      0.540,      0.540,      0.540,            0
12/02/2003,      0.520,      0.520,      0.520,      0.520,            0
12/03/2003,      0.740,      0.740,      0.740,      0.740,            0
12/04/2003,      0.570,      0.570,      0.570,      0.570,            0
12/05/2003,      0.680,      0.680,      0.680,      0.680,            0
12/08/2003,      0.710,      0.710,      0.710,      0.710,            0
12/09/2003,      0.560,      0.560,      0.560,      0.560,            0
12/10/2003,      0.690,      0.690,      0.690,      0.690,            0
12/11/2003,      0.500,      0.500,      0.500,      0.500,            0
12/12/2003,      0.500,      0.500,      0.500,      0.500,            0
