unique_id,ds,cutoff,xLSTM,xLSTM-median,xLSTM-lo-90,xLSTM-hi-90,y
GLD,2010-05-10,2010-05-07,0.552,1.0,0.0,1.0,1
GLD,2010-05-11,2010-05-07,0.568,1.0,0.0,1.0,1
GLD,2010-05-12,2010-05-07,0.447,0.0,0.0,1.0,1
GLD,2010-05-13,2010-05-07,0.461,0.0,0.0,1.0,1
GLD,2010-05-14,2010-05-07,0.522,1.0,0.0,1.0,1
GLD,2010-05-17,2010-05-07,0.526,1.0,0.0,1.0,1
GLD,2010-05-18,2010-05-07,0.551,1.0,0.0,1.0,1
GLD,2010-05-19,2010-05-07,0.49,0.0,0.0,1.0,1
GLD,2010-05-20,2010-05-07,0.532,1.0,0.0,1.0,0
GLD,2010-05-21,2010-05-07,0.489,0.0,0.0,1.0,0
GLD,2010-05-24,2010-05-21,0.536,1.0,0.0,1.0,0
GLD,2010-05-25,2010-05-21,0.573,1.0,0.0,1.0,0
GLD,2010-05-26,2010-05-21,0.477,0.0,0.0,1.0,0
GLD,2010-05-27,2010-05-21,0.474,0.0,0.0,1.0,0
GLD,2010-05-28,2010-05-21,0.535,1.0,0.0,1.0,0
GLD,2010-06-01,2010-05-21,0.498,0.0,0.0,1.0,1
GLD,2010-06-02,2010-05-21,0.47,0.0,0.0,1.0,1
GLD,2010-06-03,2010-05-21,0.554,1.0,0.0,1.0,1
GLD,2010-06-04,2010-05-21,0.516,1.0,0.0,1.0,1
GLD,2010-06-07,2010-05-21,0.534,1.0,0.0,1.0,1
GLD,2010-06-08,2010-06-07,0.531,1.0,0.0,1.0,1
GLD,2010-06-09,2010-06-07,0.514,1.0,0.0,1.0,1
GLD,2010-06-10,2010-06-07,0.529,1.0,0.0,1.0,1
GLD,2010-06-11,2010-06-07,0.544,1.0,0.0,1.0,1
GLD,2010-06-14,2010-06-07,0.527,1.0,0.0,1.0,1
GLD,2010-06-15,2010-06-07,0.557,1.0,0.0,1.0,1
GLD,2010-06-16,2010-06-07,0.501,1.0,0.0,1.0,1
GLD,2010-06-17,2010-06-07,0.561,1.0,0.0,1.0,1
GLD,2010-06-18,2010-06-07,0.529,1.0,0.0,1.0,1
GLD,2010-06-21,2010-06-07,0.519,1.0,0.0,1.0,0
GLD,2010-06-22,2010-06-21,0.549,1.0,0.0,1.0,1
GLD,2010-06-23,2010-06-21,0.5,0.5,0.0,1.0,1
GLD,2010-06-24,2010-06-21,0.473,0.0,0.0,1.0,1
GLD,2010-06-25,2010-06-21,0.521,1.0,0.0,1.0,1
GLD,2010-06-28,2010-06-21,0.503,1.0,0.0,1.0,1
GLD,2010-06-29,2010-06-21,0.572,1.0,0.0,1.0,1
GLD,2010-06-30,2010-06-21,0.561,1.0,0.0,1.0,1
GLD,2010-07-01,2010-06-21,0.545,1.0,0.0,1.0,0
GLD,2010-07-02,2010-06-21,0.549,1.0,0.0,1.0,0
GLD,2010-07-06,2010-06-21,0.506,1.0,0.0,1.0,0
GLD,2010-07-07,2010-07-06,0.515,1.0,0.0,1.0,0
GLD,2010-07-08,2010-07-06,0.456,0.0,0.0,1.0,0
GLD,2010-07-09,2010-07-06,0.518,1.0,0.0,1.0,0
GLD,2010-07-12,2010-07-06,0.484,0.0,0.0,1.0,0
GLD,2010-07-13,2010-07-06,0.476,0.0,0.0,1.0,0
GLD,2010-07-14,2010-07-06,0.543,1.0,0.0,1.0,0
GLD,2010-07-15,2010-07-06,0.51,1.0,0.0,1.0,0
GLD,2010-07-16,2010-07-06,0.538,1.0,0.0,1.0,0
GLD,2010-07-19,2010-07-06,0.444,0.0,0.0,1.0,0
GLD,2010-07-20,2010-07-06,0.521,1.0,0.0,1.0,1
GLD,2010-07-21,2010-07-20,0.49,0.0,0.0,1.0,0
GLD,2010-07-22,2010-07-20,0.506,1.0,0.0,1.0,0
GLD,2010-07-23,2010-07-20,0.575,1.0,0.0,1.0,0
GLD,2010-07-26,2010-07-20,0.506,1.0,0.0,1.0,0
GLD,2010-07-27,2010-07-20,0.526,1.0,0.0,1.0,0
GLD,2010-07-28,2010-07-20,0.569,1.0,0.0,1.0,0
GLD,2010-07-29,2010-07-20,0.502,1.0,0.0,1.0,0
GLD,2010-07-30,2010-07-20,0.522,1.0,0.0,1.0,0
GLD,2010-08-02,2010-07-20,0.511,1.0,0.0,1.0,0
GLD,2010-08-03,2010-07-20,0.505,1.0,0.0,1.0,0
GLD,2010-08-04,2010-08-03,0.554,1.0,0.0,1.0,1
GLD,2010-08-05,2010-08-03,0.523,1.0,0.0,1.0,1
GLD,2010-08-06,2010-08-03,0.455,0.0,0.0,1.0,1
GLD,2010-08-09,2010-08-03,0.529,1.0,0.0,1.0,1
GLD,2010-08-10,2010-08-03,0.537,1.0,0.0,1.0,1
GLD,2010-08-11,2010-08-03,0.591,1.0,0.0,1.0,1
GLD,2010-08-12,2010-08-03,0.543,1.0,0.0,1.0,1
GLD,2010-08-13,2010-08-03,0.482,0.0,0.0,1.0,1
GLD,2010-08-16,2010-08-03,0.523,1.0,0.0,1.0,1
GLD,2010-08-17,2010-08-03,0.58,1.0,0.0,1.0,1
GLD,2010-08-18,2010-08-17,0.537,1.0,0.0,1.0,1
GLD,2010-08-19,2010-08-17,0.501,1.0,0.0,1.0,1
GLD,2010-08-20,2010-08-17,0.514,1.0,0.0,1.0,1
GLD,2010-08-23,2010-08-17,0.41,0.0,0.0,1.0,1
GLD,2010-08-24,2010-08-17,0.519,1.0,0.0,1.0,1
GLD,2010-08-25,2010-08-17,0.527,1.0,0.0,1.0,1
GLD,2010-08-26,2010-08-17,0.491,0.0,0.0,1.0,1
GLD,2010-08-27,2010-08-17,0.547,1.0,0.0,1.0,1
GLD,2010-08-30,2010-08-17,0.519,1.0,0.0,1.0,1
GLD,2010-08-31,2010-08-17,0.516,1.0,0.0,1.0,1
GLD,2010-09-01,2010-08-31,0.507,1.0,0.0,1.0,1
GLD,2010-09-02,2010-08-31,0.523,1.0,0.0,1.0,1
GLD,2010-09-03,2010-08-31,0.504,1.0,0.0,1.0,1
GLD,2010-09-07,2010-08-31,0.483,0.0,0.0,1.0,1
GLD,2010-09-08,2010-08-31,0.515,1.0,0.0,1.0,1
GLD,2010-09-09,2010-08-31,0.501,1.0,0.0,1.0,1
GLD,2010-09-10,2010-08-31,0.511,1.0,0.0,1.0,1
GLD,2010-09-13,2010-08-31,0.59,1.0,0.0,1.0,1
GLD,2010-09-14,2010-08-31,0.488,0.0,0.0,1.0,1
GLD,2010-09-15,2010-08-31,0.502,1.0,0.0,1.0,1
GLD,2010-09-16,2010-09-15,0.501,1.0,0.0,1.0,1
GLD,2010-09-17,2010-09-15,0.535,1.0,0.0,1.0,1
GLD,2010-09-20,2010-09-15,0.528,1.0,0.0,1.0,1
GLD,2010-09-21,2010-09-15,0.461,0.0,0.0,1.0,1
GLD,2010-09-22,2010-09-15,0.528,1.0,0.0,1.0,1
GLD,2010-09-23,2010-09-15,0.581,1.0,0.0,1.0,1
GLD,2010-09-24,2010-09-15,0.559,1.0,0.0,1.0,1
GLD,2010-09-27,2010-09-15,0.533,1.0,0.0,1.0,1
GLD,2010-09-28,2010-09-15,0.517,1.0,0.0,1.0,1
GLD,2010-09-29,2010-09-15,0.537,1.0,0.0,1.0,1
GLD,2010-09-30,2010-09-29,0.514,1.0,0.0,1.0,1
GLD,2010-10-01,2010-09-29,0.469,0.0,0.0,1.0,1
GLD,2010-10-04,2010-09-29,0.488,0.0,0.0,1.0,1
GLD,2010-10-05,2010-09-29,0.536,1.0,0.0,1.0,1
GLD,2010-10-06,2010-09-29,0.496,0.0,0.0,1.0,1
GLD,2010-10-07,2010-09-29,0.563,1.0,0.0,1.0,1
GLD,2010-10-08,2010-09-29,0.531,1.0,0.0,1.0,1
GLD,2010-10-11,2010-09-29,0.517,1.0,0.0,1.0,1
GLD,2010-10-12,2010-09-29,0.53,1.0,0.0,1.0,1
GLD,2010-10-13,2010-09-29,0.501,1.0,0.0,1.0,1
GLD,2010-10-14,2010-10-13,0.523,1.0,0.0,1.0,1
GLD,2010-10-15,2010-10-13,0.484,0.0,0.0,1.0,1
GLD,2010-10-18,2010-10-13,0.504,1.0,0.0,1.0,1
GLD,2010-10-19,2010-10-13,0.523,1.0,0.0,1.0,0
GLD,2010-10-20,2010-10-13,0.508,1.0,0.0,1.0,0
GLD,2010-10-21,2010-10-13,0.576,1.0,0.0,1.0,0
GLD,2010-10-22,2010-10-13,0.511,1.0,0.0,1.0,0
GLD,2010-10-25,2010-10-13,0.506,1.0,0.0,1.0,0
GLD,2010-10-26,2010-10-13,0.545,1.0,0.0,1.0,0
GLD,2010-10-27,2010-10-13,0.481,0.0,0.0,1.0,0
GLD,2010-10-28,2010-10-27,0.533,1.0,0.0,1.0,0
GLD,2010-10-29,2010-10-27,0.585,1.0,0.0,1.0,0
GLD,2010-11-01,2010-10-27,0.473,0.0,0.0,1.0,0
GLD,2010-11-02,2010-10-27,0.442,0.0,0.0,1.0,1
GLD,2010-11-03,2010-10-27,0.522,1.0,0.0,1.0,1
GLD,2010-11-04,2010-10-27,0.492,0.0,0.0,1.0,1
GLD,2010-11-05,2010-10-27,0.54,1.0,0.0,1.0,1
GLD,2010-11-08,2010-10-27,0.51,1.0,0.0,1.0,1
GLD,2010-11-09,2010-10-27,0.487,0.0,0.0,1.0,1
GLD,2010-11-10,2010-10-27,0.53,1.0,0.0,1.0,1
GLD,2010-11-11,2010-11-10,0.554,1.0,0.0,1.0,1
GLD,2010-11-12,2010-11-10,0.531,1.0,0.0,1.0,1
GLD,2010-11-15,2010-11-10,0.521,1.0,0.0,1.0,1
GLD,2010-11-16,2010-11-10,0.471,0.0,0.0,1.0,0
GLD,2010-11-17,2010-11-10,0.55,1.0,0.0,1.0,0
GLD,2010-11-18,2010-11-10,0.539,1.0,0.0,1.0,0
GLD,2010-11-19,2010-11-10,0.531,1.0,0.0,1.0,0
GLD,2010-11-22,2010-11-10,0.52,1.0,0.0,1.0,0
GLD,2010-11-23,2010-11-10,0.48,0.0,0.0,1.0,0
GLD,2010-11-24,2010-11-10,0.498,0.0,0.0,1.0,0
GLD,2010-11-26,2010-11-24,0.544,1.0,0.0,1.0,0
GLD,2010-11-29,2010-11-24,0.535,1.0,0.0,1.0,0
GLD,2010-11-30,2010-11-24,0.469,0.0,0.0,1.0,1
GLD,2010-12-01,2010-11-24,0.478,0.0,0.0,1.0,1
GLD,2010-12-02,2010-11-24,0.52,1.0,0.0,1.0,1
GLD,2010-12-03,2010-11-24,0.526,1.0,0.0,1.0,1
GLD,2010-12-06,2010-11-24,0.542,1.0,0.0,1.0,1
GLD,2010-12-07,2010-11-24,0.502,1.0,0.0,1.0,1
GLD,2010-12-08,2010-11-24,0.551,1.0,0.0,1.0,1
GLD,2010-12-09,2010-11-24,0.535,1.0,0.0,1.0,1
GLD,2010-12-10,2010-12-09,0.492,0.0,0.0,1.0,1
GLD,2010-12-13,2010-12-09,0.522,1.0,0.0,1.0,1
GLD,2010-12-14,2010-12-09,0.487,0.0,0.0,1.0,1
GLD,2010-12-15,2010-12-09,0.517,1.0,0.0,1.0,0
GLD,2010-12-16,2010-12-09,0.583,1.0,0.0,1.0,0
GLD,2010-12-17,2010-12-09,0.553,1.0,0.0,1.0,0
GLD,2010-12-20,2010-12-09,0.518,1.0,0.0,1.0,0
GLD,2010-12-21,2010-12-09,0.533,1.0,0.0,1.0,0
GLD,2010-12-22,2010-12-09,0.552,1.0,0.0,1.0,1
GLD,2010-12-23,2010-12-09,0.54,1.0,0.0,1.0,0
GLD,2010-12-27,2010-12-23,0.551,1.0,0.0,1.0,0
GLD,2010-12-28,2010-12-23,0.515,1.0,0.0,1.0,1
GLD,2010-12-29,2010-12-23,0.519,1.0,0.0,1.0,1
GLD,2010-12-30,2010-12-23,0.523,1.0,0.0,1.0,1
GLD,2010-12-31,2010-12-23,0.516,1.0,0.0,1.0,1
GLD,2011-01-03,2010-12-23,0.517,1.0,0.0,1.0,1
GLD,2011-01-04,2010-12-23,0.497,0.0,0.0,1.0,0
GLD,2011-01-05,2010-12-23,0.548,1.0,0.0,1.0,0
GLD,2011-01-06,2010-12-23,0.508,1.0,0.0,1.0,0
GLD,2011-01-07,2010-12-23,0.511,1.0,0.0,1.0,0
GLD,2011-01-10,2011-01-07,0.524,1.0,0.0,1.0,0
GLD,2011-01-11,2011-01-07,0.554,1.0,0.0,1.0,0
GLD,2011-01-12,2011-01-07,0.49,0.0,0.0,1.0,0
GLD,2011-01-13,2011-01-07,0.484,0.0,0.0,1.0,0
GLD,2011-01-14,2011-01-07,0.522,1.0,0.0,1.0,0
GLD,2011-01-18,2011-01-07,0.532,1.0,0.0,1.0,0
GLD,2011-01-19,2011-01-07,0.539,1.0,0.0,1.0,0
GLD,2011-01-20,2011-01-07,0.495,0.0,0.0,1.0,0
GLD,2011-01-21,2011-01-07,0.474,0.0,0.0,1.0,0
GLD,2011-01-24,2011-01-07,0.485,0.0,0.0,1.0,0
GLD,2011-01-25,2011-01-24,0.475,0.0,0.0,1.0,0
GLD,2011-01-26,2011-01-24,0.498,0.0,0.0,1.0,0
GLD,2011-01-27,2011-01-24,0.496,0.0,0.0,1.0,0
GLD,2011-01-28,2011-01-24,0.512,1.0,0.0,1.0,0
GLD,2011-01-31,2011-01-24,0.536,1.0,0.0,1.0,0
GLD,2011-02-01,2011-01-24,0.565,1.0,0.0,1.0,0
GLD,2011-02-02,2011-01-24,0.551,1.0,0.0,1.0,0
GLD,2011-02-03,2011-01-24,0.486,0.0,0.0,1.0,1
GLD,2011-02-04,2011-01-24,0.539,1.0,0.0,1.0,1
GLD,2011-02-07,2011-01-24,0.557,1.0,0.0,1.0,1
GLD,2011-02-08,2011-02-07,0.531,1.0,0.0,1.0,1
GLD,2011-02-09,2011-02-07,0.574,1.0,0.0,1.0,1
GLD,2011-02-10,2011-02-07,0.502,1.0,0.0,1.0,1
GLD,2011-02-11,2011-02-07,0.456,0.0,0.0,1.0,1
GLD,2011-02-14,2011-02-07,0.492,0.0,0.0,1.0,1
GLD,2011-02-15,2011-02-07,0.562,1.0,0.0,1.0,1
GLD,2011-02-16,2011-02-07,0.5,0.5,0.0,1.0,1
GLD,2011-02-17,2011-02-07,0.5,0.5,0.0,1.0,1
GLD,2011-02-18,2011-02-07,0.54,1.0,0.0,1.0,1
GLD,2011-02-22,2011-02-07,0.535,1.0,0.0,1.0,1
GLD,2011-02-23,2011-02-22,0.527,1.0,0.0,1.0,1
GLD,2011-02-24,2011-02-22,0.507,1.0,0.0,1.0,1
GLD,2011-02-25,2011-02-22,0.512,1.0,0.0,1.0,1
GLD,2011-02-28,2011-02-22,0.525,1.0,0.0,1.0,1
GLD,2011-03-01,2011-02-22,0.519,1.0,0.0,1.0,1
GLD,2011-03-02,2011-02-22,0.564,1.0,0.0,1.0,1
GLD,2011-03-03,2011-02-22,0.47,0.0,0.0,1.0,1
GLD,2011-03-04,2011-02-22,0.489,0.0,0.0,1.0,1
GLD,2011-03-07,2011-02-22,0.593,1.0,0.0,1.0,1
GLD,2011-03-08,2011-02-22,0.534,1.0,0.0,1.0,1
GLD,2011-03-09,2011-03-08,0.553,1.0,0.0,1.0,1
GLD,2011-03-10,2011-03-08,0.513,1.0,0.0,1.0,1
GLD,2011-03-11,2011-03-08,0.492,0.0,0.0,1.0,1
GLD,2011-03-14,2011-03-08,0.427,0.0,0.0,1.0,1
GLD,2011-03-15,2011-03-08,0.517,1.0,0.0,1.0,0
GLD,2011-03-16,2011-03-08,0.52,1.0,0.0,1.0,0
GLD,2011-03-17,2011-03-08,0.479,0.0,0.0,1.0,0
GLD,2011-03-18,2011-03-08,0.538,1.0,0.0,1.0,0
GLD,2011-03-21,2011-03-08,0.521,1.0,0.0,1.0,0
GLD,2011-03-22,2011-03-08,0.504,1.0,0.0,1.0,0
GLD,2011-03-23,2011-03-22,0.506,1.0,0.0,1.0,1
GLD,2011-03-24,2011-03-22,0.525,1.0,0.0,1.0,1
GLD,2011-03-25,2011-03-22,0.526,1.0,0.0,1.0,1
GLD,2011-03-28,2011-03-22,0.475,0.0,0.0,1.0,0
GLD,2011-03-29,2011-03-22,0.428,0.0,0.0,1.0,1
GLD,2011-03-30,2011-03-22,0.517,1.0,0.0,1.0,1
GLD,2011-03-31,2011-03-22,0.557,1.0,0.0,1.0,1
GLD,2011-04-01,2011-03-22,0.545,1.0,0.0,1.0,1
GLD,2011-04-04,2011-03-22,0.515,1.0,0.0,1.0,1
GLD,2011-04-05,2011-03-22,0.544,1.0,0.0,1.0,1
GLD,2011-04-06,2011-04-05,0.489,0.0,0.0,1.0,1
GLD,2011-04-07,2011-04-05,0.519,1.0,0.0,1.0,1
GLD,2011-04-08,2011-04-05,0.521,1.0,0.0,1.0,1
GLD,2011-04-11,2011-04-05,0.524,1.0,0.0,1.0,1
GLD,2011-04-12,2011-04-05,0.539,1.0,0.0,1.0,1
GLD,2011-04-13,2011-04-05,0.634,1.0,0.0,1.0,1
GLD,2011-04-14,2011-04-05,0.528,1.0,0.0,1.0,1
GLD,2011-04-15,2011-04-05,0.566,1.0,0.0,1.0,1
GLD,2011-04-18,2011-04-05,0.552,1.0,0.0,1.0,1
GLD,2011-04-19,2011-04-05,0.532,1.0,0.0,1.0,1
GLD,2011-04-20,2011-04-19,0.587,1.0,0.0,1.0,1
GLD,2011-04-21,2011-04-19,0.504,1.0,0.0,1.0,1
GLD,2011-04-25,2011-04-19,0.438,0.0,0.0,1.0,1
GLD,2011-04-26,2011-04-19,0.456,0.0,0.0,1.0,1
GLD,2011-04-27,2011-04-19,0.502,1.0,0.0,1.0,1
GLD,2011-04-28,2011-04-19,0.524,1.0,0.0,1.0,1
GLD,2011-04-29,2011-04-19,0.529,1.0,0.0,1.0,1
GLD,2011-05-02,2011-04-19,0.493,0.0,0.0,1.0,1
GLD,2011-05-03,2011-04-19,0.524,1.0,0.0,1.0,1
GLD,2011-05-04,2011-04-19,0.494,0.0,0.0,1.0,1
GLD,2011-05-05,2011-05-04,0.487,0.0,0.0,1.0,0
GLD,2011-05-06,2011-05-04,0.543,1.0,0.0,1.0,0
GLD,2011-05-09,2011-05-04,0.478,0.0,0.0,1.0,1
GLD,2011-05-10,2011-05-04,0.431,0.0,0.0,1.0,1
GLD,2011-05-11,2011-05-04,0.49,0.0,0.0,1.0,0
GLD,2011-05-12,2011-05-04,0.47,0.0,0.0,1.0,0
GLD,2011-05-13,2011-05-04,0.522,1.0,0.0,1.0,0
GLD,2011-05-16,2011-05-04,0.505,1.0,0.0,1.0,0
GLD,2011-05-17,2011-05-04,0.511,1.0,0.0,1.0,0
GLD,2011-05-18,2011-05-04,0.506,1.0,0.0,1.0,0
GLD,2011-05-19,2011-05-18,0.483,0.0,0.0,1.0,1
GLD,2011-05-20,2011-05-18,0.495,0.0,0.0,1.0,1
GLD,2011-05-23,2011-05-18,0.453,0.0,0.0,1.0,1
GLD,2011-05-24,2011-05-18,0.505,1.0,0.0,1.0,1
GLD,2011-05-25,2011-05-18,0.546,1.0,0.0,1.0,1
GLD,2011-05-26,2011-05-18,0.563,1.0,0.0,1.0,1
GLD,2011-05-27,2011-05-18,0.528,1.0,0.0,1.0,1
GLD,2011-05-31,2011-05-18,0.517,1.0,0.0,1.0,1
GLD,2011-06-01,2011-05-18,0.513,1.0,0.0,1.0,1
GLD,2011-06-02,2011-05-18,0.482,0.0,0.0,1.0,1
GLD,2011-06-03,2011-06-02,0.529,1.0,0.0,1.0,1
GLD,2011-06-06,2011-06-02,0.579,1.0,0.0,1.0,1
GLD,2011-06-07,2011-06-02,0.497,0.0,0.0,1.0,1
GLD,2011-06-08,2011-06-02,0.489,0.0,0.0,1.0,1
GLD,2011-06-09,2011-06-02,0.501,1.0,0.0,1.0,1
GLD,2011-06-10,2011-06-02,0.496,0.0,0.0,1.0,1
