unique_id,ds,cutoff,xLSTM-lo-80.0,xLSTM-median,xLSTM-hi-80.0,y
SPY,2006-05-18,2006-05-17,90.432106,91.129845,91.64434,87.23323059082031
SPY,2006-05-19,2006-05-17,89.35131,90.64027,91.93807,87.84838104248047
SPY,2006-05-22,2006-05-17,89.62298,90.5521,91.46152,87.1779556274414
SPY,2006-05-23,2006-05-17,90.31175,90.88679,91.43567,86.51444244384766
SPY,2006-05-24,2006-05-17,89.61499,90.75455,91.74156,87.20560455322266
SPY,2006-05-25,2006-05-17,88.970314,90.53996,91.911194,88.28385162353516
SPY,2006-05-26,2006-05-17,89.61813,91.097595,92.37612,88.73308563232422
SPY,2006-05-30,2006-05-17,90.09634,91.26338,92.2721,87.15718841552734
SPY,2006-05-31,2006-05-17,90.30705,91.35926,92.433174,88.13175964355469
SPY,2006-06-01,2006-05-17,89.80845,91.35343,92.75511,88.9749984741211
SPY,2006-06-02,2006-06-01,88.22787,88.96522,90.05816,89.16162872314453
SPY,2006-06-05,2006-06-01,88.299965,89.319,90.26331,87.86221313476562
SPY,2006-06-06,2006-06-01,86.752525,89.19763,91.75032,87.64794921875
SPY,2006-06-07,2006-06-01,87.514084,89.045525,90.64213,86.99131774902344
SPY,2006-06-08,2006-06-01,87.39173,88.63095,90.20054,86.91529846191406
SPY,2006-06-09,2006-06-01,86.61674,87.94004,89.98282,86.63884735107422
SPY,2006-06-12,2006-06-01,86.87375,88.69078,90.60452,85.69882202148438
SPY,2006-06-13,2006-06-01,87.96467,88.82608,89.919014,84.70352172851562
SPY,2006-06-14,2006-06-01,87.65697,89.26578,90.85405,85.36015319824219
SPY,2006-06-15,2006-06-01,87.8808,88.5914,89.64265,87.17102813720703
SPY,2006-06-16,2006-06-15,82.006645,85.2869,89.16917,86.53585052490234
SPY,2006-06-19,2006-06-15,81.153015,85.58936,89.91133,85.85548400878906
SPY,2006-06-20,2006-06-15,81.01068,86.16927,91.20829,86.14701080322266
SPY,2006-06-21,2006-06-15,80.62909,85.230194,90.34571,86.7857437133789
SPY,2006-06-22,2006-06-15,81.15834,85.74026,90.376816,86.40391540527344
SPY,2006-06-23,2006-06-15,80.35761,85.42868,90.701775,86.3900146484375
SPY,2006-06-26,2006-06-15,81.276665,86.31608,91.87736,86.7718505859375
SPY,2006-06-27,2006-06-15,79.18094,84.3096,89.97222,86.02208709716797
SPY,2006-06-28,2006-06-15,79.729675,84.88305,90.61219,86.60523986816406
SPY,2006-06-29,2006-06-15,79.71921,85.1147,90.67432,88.35469818115234
SPY,2006-06-30,2006-06-29,86.13241,87.61418,88.82332,88.36164093017578
SPY,2006-07-03,2006-06-29,85.43584,86.40413,87.28345,88.72265625
SPY,2006-07-05,2006-06-29,84.816086,86.408806,87.84337,88.21582794189453
SPY,2006-07-06,2006-06-29,85.58596,86.718445,87.74602,88.47272491455078
SPY,2006-07-07,2006-06-29,85.92878,86.95213,87.76972,87.89652252197266
SPY,2006-07-10,2006-06-29,85.62034,86.88737,88.031845,88.06314849853516
SPY,2006-07-11,2006-06-29,85.43969,87.506584,89.244865,88.45191192626953
SPY,2006-07-12,2006-06-29,86.13545,87.012695,87.74045,87.50770568847656
SPY,2006-07-13,2006-06-29,85.11389,86.73138,88.096436,86.08455657958984
SPY,2006-07-14,2006-06-29,85.620834,86.450195,87.26326,85.75133514404297
SPY,2006-07-17,2006-07-14,87.06553,88.82924,90.235794,85.62635803222656
